task_id,primitive,separability,eta,generator,seed,prefix,dof,n_obs,coverage,S,ESS,E_struct,d_eff,V_f,V_f_norm,state,reliable
turning:high:spline:12,turning,high,0.8,spline,12,0.3,3,37,1,1.1937097699335244,1891.6417747557489,0.3217459594400234,2.2604549443681248,0.02315566714665217,0.5671383207290785,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.4,3,49,1,1.1818708943706604,1508.913377356313,0.21507253243711164,2.265082616379729,0.022275458035226105,0.5455798696517237,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.5,3,61,1,1.148330447940733,812.9995258323802,0.13448495601807683,2.2468667106656715,0.020671972801392522,0.5063066361460447,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.6,3,73,1,1.0718698501910584,241.19314750494053,0.08624452654312312,2.2495020042497793,0.01775664508271656,0.43490320577742897,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.7,3,85,1,1.0130782360741688,45.452498853831266,0.06051288285371284,2.099971641180182,0.011369092383963771,0.27845658352310504,measurement-unreliable,0
turning:high:spline:12,turning,high,0.8,spline,12,0.2,5,25,1,1.0350403629209766,631.4004890237186,0.4014124915913834,3.4797870442772063,0.03950477195292627,0.9675674591568421,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.3,5,37,1,1.0465820937224972,505.2508726205745,0.3217459594400234,3.3046767760271054,0.036657724331940054,0.8978363736054898,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.4,5,49,1,1.045053220138527,415.4740282439401,0.21507253243711164,3.206458810922898,0.036306592990271495,0.8892363173770064,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.5,5,61,1,1.096341832156111,299.8624216516688,0.13448495601807683,3.0795996140475674,0.036756483392240136,0.9002552219703691,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.6,5,73,1,1.166242523697678,152.5905149479575,0.08624452654312312,2.8617020221806633,0.034834306004258075,0.8531764464352335,external-informative,1
turning:high:spline:12,turning,high,0.8,spline,12,0.7,5,85,1,1.0964645976072371,36.760200663799175,0.06051288285371284,2.5379898469543396,0.034018377171873095,0.8331923749376365,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.2,1,25,1,1.3862943611198906,3750.3095128085797,0.5401546286604968,1.0,0.006733612103621013,0.34658453363946073,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.3,1,37,1,1.3862943611198906,2580.760075612994,0.6875061202780117,1.0,0.004787429384329221,0.24641291404465213,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.4,1,49,1,1.3862943611198906,1142.726238634476,0.48607994709402647,1.0,0.003465705784984337,0.1783827171414361,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.5,1,61,1,1.3862943611198906,299.33907777489156,0.15313049695086442,1.0,0.002473008130452439,0.12728775527751926,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.6,1,73,1,1.3862943611198906,54.63725886616637,0.026668769208908955,1.0,0.0013213848451821355,0.06801276094882662,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.7,1,85,1,1.3862943611198904,9.636323193262463,0.011173923210142754,1.0,0.0004824016918206063,0.024829610439933623,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.2,3,25,1,1.1405284667583342,1415.6036896832477,0.5401546286604968,2.1287426128943303,0.021743179808009244,1.1191392847748693,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.3,3,37,1,1.1355846910108556,1159.9603264472871,0.6875061202780117,2.109277401271625,0.02110480530370541,1.0862816258457948,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.4,3,49,1,1.1055333026196827,544.0754913581268,0.48607994709402647,2.0480738726196335,0.01937576718779845,0.9972866169523937,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.5,3,61,1,1.0684951752527465,123.42920926589615,0.15313049695086442,1.8474449297723088,0.014282824532205977,0.7351486844463277,external-informative,1
turning:high:spline:13,turning,high,0.8,spline,13,0.6,3,73,1,1.0615879989539234,30.66286122483191,0.026668769208908955,1.654204870527047,0.0069750050791223305,0.35900922792694073,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.7,3,85,1,1.212076218171855,10.490852594725085,0.011173923210142754,1.422869328341255,0.0051418363048161865,0.2646545287033758,measurement-unreliable,0
turning:high:spline:13,turning,high,0.8,spline,13,0.2,5,25,1,1.0328789207214155,346.01487928658037,0.5401546286604968,3.2049983715511936,0.03629033341270985,1.8678932032186586,external-informative,1
