factorial,primitive,engine,action,support_fraction,noise_ratio,exposure,effect_strength,ood_distance,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n
exposure_effect,inflection,neural,true-full,0.525,0.01,0.45,0.15,0.4,0.03333333333333333,0.0,0.08333333333333333,0.010782118509025775,0.009095948097706438,0.01263664037069974,0.9666666666666667,0.0,60
exposure_effect,inflection,neural,true-full,0.525,0.01,0.45,0.45,0.4,0.6666666666666666,0.55,0.7833333333333333,-0.003841058405732038,-0.0063391053946304475,-0.0013198660229735814,0.31666666666666665,0.1,60
exposure_effect,inflection,neural,true-full,0.525,0.01,0.45,0.85,0.4,0.95,0.8833333333333333,1.0,-0.03526457198757727,-0.04313852916421276,-0.02823003971107779,0.05,0.8166666666666667,60
exposure_effect,inflection,neural,true-full,0.525,0.01,0.8,0.15,0.4,0.016666666666666666,0.0,0.05,0.012109931651291862,0.010088697317186382,0.014276441864208912,0.9833333333333333,0.0,60
exposure_effect,inflection,neural,true-full,0.525,0.01,0.8,0.45,0.4,0.7333333333333333,0.6166666666666667,0.8333333333333334,-0.005476134159912006,-0.007998882838648044,-0.0031077471162177604,0.23333333333333334,0.16666666666666666,60
exposure_effect,inflection,neural,true-full,0.525,0.01,0.8,0.85,0.4,0.9666666666666667,0.9166666666666666,1.0,-0.03866149696752668,-0.04774571695370994,-0.030262050212044332,0.016666666666666666,0.8333333333333334,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.1,0.15,0.4,0.5,0.36666666666666664,0.6166666666666667,-0.0004843358597222966,-0.0020355673068739415,0.0009875224540394564,0.5,0.36666666666666664,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.1,0.45,0.4,0.7,0.5833333333333334,0.8166666666666667,-0.016188961395121795,-0.021665798009918597,-0.010836167032096935,0.2833333333333333,0.65,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.1,0.85,0.4,0.9833333333333333,0.95,1.0,-0.058196223225942596,-0.0697414478788268,-0.04692161313333575,0.0,0.95,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.45,0.15,0.4,0.45,0.3333333333333333,0.5666666666666667,-0.00037306375002642625,-0.0019504954404303402,0.0010352621623179784,0.55,0.31666666666666665,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.45,0.45,0.4,0.8166666666666667,0.7166666666666667,0.9,-0.01959413651558378,-0.02579666646991634,-0.013868502883528845,0.18333333333333332,0.7,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.45,0.85,0.4,0.95,0.8833333333333333,1.0,-0.05127728279097497,-0.06292717998190614,-0.040349066469697534,0.05,0.85,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.8,0.15,0.4,0.45,0.3333333333333333,0.5666666666666667,-0.00010900176717959955,-0.0018289960778429537,0.0015013875532172904,0.55,0.31666666666666665,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.8,0.45,0.4,0.8,0.7,0.9,-0.02098585459426415,-0.027115216222441375,-0.015305050128818744,0.2,0.7166666666666667,60
exposure_effect,inflection,spline,true-full,0.525,0.01,0.8,0.85,0.4,0.95,0.8833333333333333,1.0,-0.05238057415030512,-0.06464336800718139,-0.04068579826526258,0.05,0.8666666666666667,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.1,0.15,0.4,0.5666666666666667,0.43333333333333335,0.6833333333333333,-0.03437900777691641,-0.0573038044815096,-0.011305468420373194,0.43333333333333335,0.15,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.1,0.45,0.4,0.9833333333333333,0.95,1.0,-0.22678278334887317,-0.26466763407859106,-0.19064042294026134,0.0,0.85,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.1,0.85,0.4,1.0,1.0,1.0,-0.5406934104243828,-0.6033551802393127,-0.4808605094110047,0.0,1.0,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.45,0.15,0.4,0.5833333333333334,0.45,0.7166666666666667,-0.03505707161127272,-0.05695699647094941,-0.013701593199573855,0.4,0.016666666666666666,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.45,0.45,0.4,0.9666666666666667,0.9166666666666666,1.0,-0.22260635743738458,-0.25965661945772095,-0.18547300645732293,0.016666666666666666,0.8166666666666667,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.45,0.85,0.4,1.0,1.0,1.0,-0.4973787893252218,-0.5617524280705594,-0.43511759736333144,0.0,1.0,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.8,0.15,0.4,0.5666666666666667,0.45,0.7,-0.03538400136889028,-0.057120394210569705,-0.014319060532105837,0.43333333333333335,0.05,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.8,0.45,0.4,1.0,1.0,1.0,-0.2394214529252765,-0.27358294594047006,-0.20670765778164907,0.0,0.9666666666666667,60
exposure_effect,regime,neural,true-full,0.525,0.01,0.8,0.85,0.4,1.0,1.0,1.0,-0.5080328434978587,-0.573601841510257,-0.44356360017908586,0.0,1.0,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.1,0.15,0.4,0.6166666666666667,0.5,0.7333333333333333,-0.031528302990006106,-0.04973901266854778,-0.014065496062961562,0.38333333333333336,0.38333333333333336,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.1,0.45,0.4,0.95,0.8833333333333333,1.0,-0.204548646859866,-0.24065775639653833,-0.17079969823941554,0.05,0.8166666666666667,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.1,0.85,0.4,1.0,1.0,1.0,-0.5065309818248555,-0.5639143138875414,-0.4511392641784107,0.0,1.0,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.45,0.15,0.4,0.6833333333333333,0.5666666666666667,0.8,-0.037922033869957156,-0.05583973519002585,-0.020486531393445688,0.3,0.4,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.45,0.45,0.4,1.0,1.0,1.0,-0.2210581516538447,-0.2546264938838078,-0.18865404198485,0.0,0.85,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.45,0.85,0.4,1.0,1.0,1.0,-0.46024885508137686,-0.5207591002170288,-0.4035088131702848,0.0,0.9833333333333333,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.8,0.15,0.4,0.6333333333333333,0.5166666666666667,0.75,-0.02278013852483956,-0.038207616221034524,-0.007724213025414198,0.3333333333333333,0.25,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.8,0.45,0.4,0.9833333333333333,0.95,1.0,-0.22740832513167616,-0.2611159889214121,-0.19412427716814154,0.016666666666666666,0.9,60
exposure_effect,regime,spline,true-full,0.525,0.01,0.8,0.85,0.4,1.0,1.0,1.0,-0.48674692324169766,-0.5499538672729226,-0.4238270199244263,0.0,0.9666666666666667,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.1,0.15,0.4,0.016666666666666666,0.0,0.05,0.032270416166170025,0.028546900964780218,0.03598790361443798,0.9666666666666667,0.0,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.1,0.45,0.4,0.8666666666666667,0.7833333333333333,0.95,-0.03043576165538748,-0.038820671523119604,-0.02221510448189418,0.11666666666666667,0.36666666666666664,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.1,0.85,0.4,1.0,1.0,1.0,-0.14561478600987776,-0.16636773279453418,-0.1264275575682342,0.0,1.0,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.45,0.15,0.4,0.016666666666666666,0.0,0.05,0.028960389444646562,0.02415233198523427,0.03360250798780503,0.9666666666666667,0.0,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.45,0.45,0.4,0.8333333333333334,0.7333333333333333,0.9166666666666666,-0.0328592504303557,-0.04206787295627256,-0.024183736908091436,0.1,0.31666666666666665,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.45,0.85,0.4,1.0,1.0,1.0,-0.1426490157152952,-0.16590185567586427,-0.12137862286406383,0.0,0.9833333333333333,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.8,0.15,0.4,0.0,0.0,0.0,0.03077602914285444,0.02588695888121115,0.035294362365950245,1.0,0.0,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.8,0.45,0.4,0.9833333333333333,0.95,1.0,-0.03635852325662892,-0.04283418804571836,-0.030118129637235244,0.016666666666666666,0.4166666666666667,60
exposure_effect,turning,neural,true-full,0.525,0.01,0.8,0.85,0.4,1.0,1.0,1.0,-0.12668849132600155,-0.14842664616644105,-0.10664623743026055,0.0,1.0,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.1,0.15,0.4,0.8,0.7,0.9,-0.01750721075341041,-0.023540338260327257,-0.012059251718543355,0.18333333333333332,0.6,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.1,0.45,0.4,0.9,0.8166666666666667,0.9666666666666667,-0.04738442762388555,-0.05700097434235176,-0.03823083347398945,0.1,0.7666666666666667,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.1,0.85,0.4,1.0,1.0,1.0,-0.15635222632401505,-0.17953302416972927,-0.13456818447065913,0.0,0.9833333333333333,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.45,0.15,0.4,0.6666666666666666,0.55,0.7833333333333333,-0.016244897782727977,-0.02320786576367768,-0.009738159911920244,0.31666666666666665,0.5333333333333333,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.45,0.45,0.4,0.95,0.8833333333333333,1.0,-0.05205910822501914,-0.0635506635493593,-0.04132406194994864,0.05,0.8333333333333334,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.45,0.85,0.4,0.9833333333333333,0.95,1.0,-0.15359882564465627,-0.17856159871749858,-0.1299826727323455,0.016666666666666666,0.9833333333333333,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.8,0.15,0.4,0.65,0.5166666666666667,0.7666666666666667,-0.01949005681052774,-0.02713266285261747,-0.011518074994197111,0.3333333333333333,0.6,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.8,0.45,0.4,0.95,0.8833333333333333,1.0,-0.05319798794418104,-0.06245682957640631,-0.044021967953868854,0.05,0.8666666666666667,60
exposure_effect,turning,spline,true-full,0.525,0.01,0.8,0.85,0.4,1.0,1.0,1.0,-0.13381260071879103,-0.15727243272189748,-0.1112334955867381,0.0,0.9833333333333333,60
support_noise,asymptote,neural,true-full,0.35,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.0573605475922009,0.054789669755944924,0.059952847459007065,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.35,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.05724561681879072,0.05478689037859068,0.05977577128133587,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.35,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.057434565779127165,0.053258569382474745,0.06191638658126111,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.525,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.06487648245579425,0.06210034666001408,0.06766237595425197,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.525,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.06508844818153943,0.06237797372353832,0.06791721723945743,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.525,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.06518497592341842,0.058495972359225004,0.07192459905244994,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.7,0.001,0.55,0.55,0.4,0.0,0.0,0.0,0.06660190885541849,0.06394623182649946,0.06929670082348303,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.7,0.01,0.55,0.55,0.4,0.0,0.0,0.0,0.07069887940872567,0.06675033354243816,0.07473160481554596,1.0,0.0,60
support_noise,asymptote,neural,true-full,0.7,0.05,0.55,0.55,0.4,0.03333333333333333,0.0,0.08333333333333333,0.0673735305780994,0.05780464101293268,0.07711835608992999,0.9666666666666667,0.0,60
support_noise,asymptote,spline,true-full,0.35,0.001,0.55,0.55,0.4,0.5666666666666667,0.45,0.7,-0.0003252677789109865,-0.0010625949042532817,0.0004094440005506477,0.4166666666666667,0.2833333333333333,60
support_noise,asymptote,spline,true-full,0.35,0.01,0.55,0.55,0.4,0.16666666666666666,0.08333333333333333,0.26666666666666666,0.009791349650827898,0.007158944884084034,0.012455310293202612,0.8333333333333334,0.08333333333333333,60
support_noise,asymptote,spline,true-full,0.35,0.05,0.55,0.55,0.4,0.0,0.0,0.0,0.06181510061038953,0.049537850036673874,0.0748498932338137,0.9833333333333333,0.0,60
