engine,support_fraction,noise_ratio,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,n,factorial,target,exposure,effect_strength,ood_distance,action
neural,,,0.40714285714285714,0.3619047619047619,0.45476190476190476,-0.02141200909054173,-0.0290881948966408,-0.014343840778342833,0.5880952380952381,0.33095238095238094,420,distance_specificity,engine_conditioned,,,0.1,true-full
neural,,,0.38571428571428573,0.3404761904761905,0.4333928571428563,0.004973415816136959,0.003960077121332476,0.005959076602160286,0.6047619047619047,0.12857142857142856,420,distance_specificity,engine_conditioned,,,0.1,true-subset
neural,,,0.21428571428571427,0.1761904761904762,0.25476190476190474,0.018690280668056624,0.012249662475184848,0.024473581623746216,0.7785714285714286,0.06666666666666667,420,distance_specificity,engine_conditioned,,,0.4,biased-specific
neural,,,0.45476190476190476,0.40476190476190477,0.5023809523809524,-0.03412643169625238,-0.0479034948793405,-0.021335357522768217,0.530952380952381,0.2642857142857143,420,distance_specificity,engine_conditioned,,,0.4,true-full
neural,,,0.32142857142857145,0.2761904761904762,0.36666666666666664,0.01624652334491571,0.013504662420719769,0.018959254674292086,0.6357142857142857,0.007142857142857143,420,distance_specificity,engine_conditioned,,,0.4,true-subset
neural,,,0.21904761904761905,0.17857142857142858,0.25952380952380955,0.00789326131412952,-0.007683887968934774,0.022809133629019897,0.7404761904761905,0.08095238095238096,420,distance_specificity,engine_conditioned,,,0.8,biased-specific
neural,,,0.4976190476190476,0.44761904761904764,0.5452380952380952,-0.06540568808980526,-0.0864091649354937,-0.04531859899848172,0.4595238095238095,0.23095238095238096,420,distance_specificity,engine_conditioned,,,0.8,true-full
neural,,,0.32857142857142857,0.2857142857142857,0.3738095238095238,0.021172028253687535,0.01630614436366822,0.025980919264327083,0.6,0.0,420,distance_specificity,engine_conditioned,,,0.8,true-subset
spline,,,0.6952380952380952,0.65,0.7380952380952381,-0.013166352910702488,-0.016202929687491496,-0.01029782556883718,0.23809523809523808,0.38571428571428573,420,distance_specificity,engine_conditioned,,,0.1,biased-specific
spline,,,0.6047619047619047,0.5571428571428572,0.65,-0.030040138231815536,-0.03779828461966948,-0.02281527527767725,0.3404761904761905,0.36666666666666664,420,distance_specificity,engine_conditioned,,,0.1,true-full
spline,,,0.6761904761904762,0.6309523809523809,0.7214285714285714,-0.006196813621217277,-0.007661370036916438,-0.004803913013377568,0.2642857142857143,0.3476190476190476,420,distance_specificity,engine_conditioned,,,0.1,true-subset
spline,,,0.6785714285714286,0.6333333333333333,0.7238095238095238,-0.013786861729118086,-0.020030730050695986,-0.007466322671526128,0.2857142857142857,0.30952380952380953,420,distance_specificity,engine_conditioned,,,0.4,biased-specific
spline,,,0.6523809523809524,0.6071428571428571,0.6976190476190476,-0.052282373947707704,-0.06548453399383451,-0.040546944910516095,0.30714285714285716,0.3904761904761905,420,distance_specificity,engine_conditioned,,,0.4,true-full
spline,,,0.6214285714285714,0.5738095238095238,0.6666666666666666,-0.004535846564861698,-0.008015804637475303,-0.0011820843933140494,0.3404761904761905,0.29285714285714287,420,distance_specificity,engine_conditioned,,,0.4,true-subset
spline,,,0.5666666666666667,0.5166666666666667,0.6142857142857143,0.024727423963454148,-0.001090786649467234,0.05252683808277515,0.40476190476190477,0.2785714285714286,420,distance_specificity,engine_conditioned,,,0.8,biased-specific
spline,,,0.5880952380952381,0.5404761904761904,0.6333333333333333,0.01894522298090559,-0.005853992395164507,0.04486363158390995,0.3738095238095238,0.32142857142857145,420,distance_specificity,engine_conditioned,,,0.8,true-full
spline,,,0.5571428571428572,0.5095238095238095,0.6047619047619047,0.03423254344193653,0.009730044629857293,0.05993688211423244,0.3976190476190476,0.25952380952380955,420,distance_specificity,engine_conditioned,,,0.8,true-subset
,,,0.7142857142857143,0.6713690476190476,0.7571428571428571,-0.006684364022859844,-0.00958821870807807,-0.004004396451038775,0.20952380952380953,0.3880952380952381,420,distance_specificity,robust_any_engine_harm,,,0.1,biased-specific
,,,0.6523809523809524,0.6047619047619047,0.6976190476190476,-0.02572607366117864,-0.03351362956444892,-0.018437276342755042,0.28809523809523807,0.3880952380952381,420,distance_specificity,robust_any_engine_harm,,,0.1,true-full
,,,0.7238095238095238,0.680952380952381,0.7666666666666667,-0.0006116989025401582,-0.00173695431295227,0.0004278219931646197,0.21428571428571427,0.37142857142857144,420,distance_specificity,robust_any_engine_harm,,,0.1,true-subset
,,,0.7238095238095238,0.680952380952381,0.7666666666666667,0.0024517094694692728,-0.0033110519483647263,0.008007120860406083,0.24047619047619048,0.3142857142857143,420,distance_specificity,robust_any_engine_harm,,,0.4,biased-specific
,,,0.7142857142857143,0.6714285714285714,0.7547619047619047,-0.04320440282198004,-0.05628601517278538,-0.030963997276879294,0.2357142857142857,0.40476190476190477,420,distance_specificity,robust_any_engine_harm,,,0.4,true-full
,,,0.6880952380952381,0.6428571428571429,0.7333333333333333,0.005855338390027007,0.003172340995615689,0.008593666034443842,0.2571428571428571,0.29285714285714287,420,distance_specificity,robust_any_engine_harm,,,0.4,true-subset
,,,0.6904761904761905,0.6476190476190476,0.7357142857142858,0.016310342638791837,-0.0007190777610934646,0.032091060535126864,0.2523809523809524,0.3142857142857143,420,distance_specificity,robust_any_engine_harm,,,0.8,biased-specific
,,,0.7666666666666667,0.7261904761904762,0.8071428571428572,-0.023230232554449826,-0.04108536874543363,-0.005193639657598903,0.1880952380952381,0.3952380952380952,420,distance_specificity,robust_any_engine_harm,,,0.8,true-full
,,,0.7047619047619048,0.6595238095238095,0.7476190476190476,0.027702285847812022,0.014669257018213783,0.04089479418586054,0.24285714285714285,0.25952380952380955,420,distance_specificity,robust_any_engine_harm,,,0.8,true-subset
