task_id,proposal_index,prefix_exposure,policy,nrmse
10,10,high,invariant_residual_ensemble,0.09022952796229033
10,10,high,evidence_weighted_residual_mixture,0.09630600943739825
10,10,high,free_baseline,0.08876199682304578
10,10,low,closed_mechanism,0.21505493060908015
10,10,low,invariant_residual_MAP,0.2567503895928168
10,10,low,invariant_residual_ensemble,0.250891023843954
10,10,low,evidence_weighted_residual_mixture,0.25970562836491845
10,10,low,free_baseline,0.5366504912769934
10,10,medium,closed_mechanism,0.21505493060908015
10,10,medium,invariant_residual_MAP,0.04149243459503286
10,10,medium,invariant_residual_ensemble,0.11564672158171471
10,10,medium,evidence_weighted_residual_mixture,0.11050643194623963
10,10,medium,free_baseline,0.04228128054712383
11,11,high,closed_mechanism,0.44993122898547494
11,11,high,invariant_residual_MAP,0.017696934479806352
11,11,high,invariant_residual_ensemble,0.08660838712942277
11,11,high,evidence_weighted_residual_mixture,0.07060389456566044
11,11,high,free_baseline,0.053215366368933065
11,11,low,closed_mechanism,0.44993122898547494
11,11,low,invariant_residual_MAP,0.2558984977934497
11,11,low,invariant_residual_ensemble,0.061204613203644814
11,11,low,evidence_weighted_residual_mixture,0.11557496127756776
11,11,low,free_baseline,0.4786325110433234
11,11,medium,closed_mechanism,0.44993122898547494
11,11,medium,invariant_residual_MAP,0.2788448974830944
11,11,medium,invariant_residual_ensemble,0.2023865673349124
11,11,medium,evidence_weighted_residual_mixture,0.20874491120165603
11,11,medium,free_baseline,0.5158640853544326
12,12,high,closed_mechanism,0.4300335757998505
12,12,high,invariant_residual_MAP,0.07692714142028599
12,12,high,invariant_residual_ensemble,0.10776637934489186
12,12,high,evidence_weighted_residual_mixture,0.10959960944937647
12,12,high,free_baseline,0.08554204564162446
12,12,low,closed_mechanism,0.4300335757998505
12,12,low,invariant_residual_MAP,0.03954863808746127
12,12,low,invariant_residual_ensemble,0.06448164789994451
12,12,low,evidence_weighted_residual_mixture,0.0641125305555315
12,12,low,free_baseline,0.05702257037540072
12,12,medium,closed_mechanism,0.4300335757998505
12,12,medium,invariant_residual_MAP,0.03147938189112919
12,12,medium,invariant_residual_ensemble,0.13455006787920615
12,12,medium,evidence_weighted_residual_mixture,0.1370757618335532
12,12,medium,free_baseline,0.0778257886004716
13,13,high,closed_mechanism,0.5145490169381497
13,13,high,invariant_residual_MAP,0.011534534368398864
13,13,high,invariant_residual_ensemble,0.04169167366771978
13,13,high,evidence_weighted_residual_mixture,0.028135687283524977
13,13,high,free_baseline,0.019655395058503226
13,13,low,closed_mechanism,0.5145490169381497
13,13,low,invariant_residual_MAP,0.011493264434288664
13,13,low,invariant_residual_ensemble,0.03661403599887766
13,13,low,evidence_weighted_residual_mixture,0.02377654370694337
13,13,low,free_baseline,0.8367527314468307
