task_id,field,generator,draw,baseline_specification_state,epsilon,sign,coverage,violation,S,S_baseline,delta_S_spec,delta_S_status,ESS,baseline_floor_hit,perturbed_floor_hit,sat_count,confidently_wrong,semantic_type,has_regime_invariant,has_asymptotic_mechanism_invariant,from_above_invariant
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.3,-1,0,0.295,1.3021034331172656,1.3142645465257703,-0.012161113408504676,exact,3919.590009604463,0,0,167,1,mechanistic,1,1,1
regime_onset:basis:0,regime_onset,basis,0,r0=+0.8,0.3,1,0,0.25499999999999995,1.3088954274922853,1.3142645465257703,-0.005369119033485026,exact,3919.590009604463,0,0,153,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.0,0,1,0.0,1.30465700479958,1.30465700479958,0.0,exact,3953.9718516759312,0,0,163,0,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.025,-1,1,0.0,1.2969913556090868,1.30465700479958,-0.007665649190493173,exact,3953.9718516759312,0,0,179,0,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.025,1,0,0.020000000000000035,1.30465700479958,1.30465700479958,0.0,exact,3953.9718516759312,0,0,163,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.05,-1,0,0.005000000000000022,1.2927051117347041,1.30465700479958,-0.011951893064875874,exact,3953.9718516759312,0,0,188,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.05,1,0,0.045000000000000054,1.3065826340086202,1.30465700479958,0.0019256292090401583,exact,3953.9718516759312,0,0,159,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.1,-1,0,0.05500000000000006,1.2922299945050553,1.30465700479958,-0.012427010294524754,exact,3953.9718516759312,0,0,189,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.1,1,0,0.0950000000000001,1.2965141980273043,1.30465700479958,-0.008142806772275746,exact,3953.9718516759312,0,0,180,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.2,-1,0,0.15499999999999986,1.3094780483133528,1.30465700479958,0.004821043513772771,exact,3953.9718516759312,0,0,153,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.2,1,0,0.1949999999999999,1.3051380645839352,1.30465700479958,0.0004810597843551978,exact,3953.9718516759312,0,0,162,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.3,-1,0,0.25499999999999995,1.3036955789302829,1.30465700479958,-0.00096142586929715,exact,3953.9718516759312,0,0,165,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=-0.8,0.3,1,0,0.295,1.311897314099354,1.30465700479958,0.007240309299773928,exact,3953.9718516759312,0,0,148,1,mechanistic,1,1,1
regime_onset:ode:0,regime_onset,ode,0,r0=+0.0,0.0,0,1,0.0,1.2969913556090868,1.2969913556090868,0.0,exact,3953.9718516759312,0,0,179,0,mechanistic,1,1,1
