field,baseline_specification_state,sign,epsilon,rows,coverage_rate,violation_mean,sharpness_mean,sharpness_median,CW_rate,ESS_median
turning_location,r0=+0.8,0,0.0,90,1.0,0.0,0.8544425424293152,0.8415611468841198,0.0,533.7078833848724
turning_location,r0=+0.8,1,0.025,90,1.0,0.0,0.8090294534741467,0.7780134479406902,0.0,533.7078833848724
turning_location,r0=+0.8,1,0.05,90,0.0,0.005,0.8744563696820595,0.8535074132272191,1.0,533.7078833848724
turning_location,r0=+0.8,1,0.1,90,0.0,0.055,1.1623059493403713,1.1591720080240986,1.0,533.7078833848724
turning_location,r0=+0.8,1,0.2,90,0.0,0.15499999999999997,1.3735505074456102,1.3846391380077785,1.0,533.7078833848724
turning_location,r0=+0.8,1,0.3,90,0.0,0.2549999999999999,1.385826824113158,1.3862939354240025,1.0,533.7078833848724
turning_location,r0=-0.8,-1,0.025,90,1.0,0.0,0.8120942079541179,0.7860937796167329,0.0,533.7078833848724
turning_location,r0=-0.8,-1,0.05,90,0.0,0.005,0.9006481644610431,0.8877334458649213,1.0,533.7078833848724
turning_location,r0=-0.8,-1,0.1,90,0.0,0.055,1.2250875493963371,1.2399111574788146,1.0,533.7078833848724
turning_location,r0=-0.8,-1,0.2,90,0.0,0.15499999999999997,1.3825706720236175,1.3862208243009855,1.0,533.7078833848724
turning_location,r0=-0.8,-1,0.3,90,0.0,0.2549999999999999,1.3862812872791064,1.3862943611124305,1.0,533.7078833848724
turning_location,r0=-0.8,0,0.0,90,1.0,0.0,0.8381172807954218,0.8138106935237219,0.0,533.7078833848724
turning_location,r0=-0.8,1,0.025,90,0.0,0.02,0.9553088348520359,0.9562108087194154,1.0,533.7078833848724
turning_location,r0=-0.8,1,0.05,90,0.0,0.045,1.1074426773193606,1.103191067192941,1.0,533.7078833848724
turning_location,r0=-0.8,1,0.1,90,0.0,0.09500000000000011,1.3111640234546178,1.3367350692160809,1.0,533.7078833848724
turning_location,r0=-0.8,1,0.2,90,0.0,0.195,1.38276234518699,1.3862305174704055,1.0,533.7078833848724
turning_location,r0=-0.8,1,0.3,90,0.0,0.295,1.3861852319889831,1.3862943549927618,1.0,533.7078833848724
