task_id,prefix_exposure,policy,e_kappa,e_lambda,nrmse_clean_far
8,L,joint_uniform,0.024688770797184345,7.60072695893399e-08,0.2541841092581848
8,L,kappa_selective,0.024688770797184345,7.60072695893399e-08,0.1762959102927094
8,L,factorized_joint_weighted,0.024688770797184345,7.60072695893399e-08,0.1761846587530136
8,L,joint_MAP,0.024688770797184345,7.60072695893399e-08,0.3687650479502642
8,S,joint_uniform,0.33173946514153185,0.00024179265577606301,0.2541841092581848
8,S,kappa_selective,0.33173946514153185,0.00024179265577606301,0.11364834059825128
8,S,factorized_joint_weighted,0.33173946514153185,0.00024179265577606301,0.10745257663845491
8,S,joint_MAP,0.33173946514153185,0.00024179265577606301,0.0831490008458365
8,J,joint_uniform,0.45167675998175183,0.12834886049500693,0.2541841092581848
8,J,kappa_selective,0.45167675998175183,0.12834886049500693,0.1269239760223306
8,J,factorized_joint_weighted,0.45167675998175183,0.12834886049500693,0.0007157738331283869
8,J,joint_MAP,0.45167675998175183,0.12834886049500693,0.07521743529708604
9,L,joint_uniform,0.004553080528641007,4.998980995818414e-08,0.24356096863758459
9,L,kappa_selective,0.004553080528641007,4.998980995818414e-08,0.21208518453420902
9,L,factorized_joint_weighted,0.004553080528641007,4.998980995818414e-08,0.21199489061768254
9,L,joint_MAP,0.004553080528641007,4.998980995818414e-08,0.29413538207987694
9,S,joint_uniform,0.330554954479105,0.0003916597256310439,0.24356096863758459
9,S,kappa_selective,0.330554954479105,0.0003916597256310439,0.20998578587440084
9,S,factorized_joint_weighted,0.330554954479105,0.0003916597256310439,0.21791461218415928
9,S,joint_MAP,0.330554954479105,0.0003916597256310439,0.4086073444879678
9,J,joint_uniform,0.46290199943350396,0.15105356242286627,0.24356096863758459
9,J,kappa_selective,0.46290199943350396,0.15105356242286627,0.1843326200153978
9,J,factorized_joint_weighted,0.46290199943350396,0.15105356242286627,0.04460048913292225
9,J,joint_MAP,0.46290199943350396,0.15105356242286627,0.00994724317699227
10,L,joint_uniform,0.021539807440257297,7.872725660273971e-08,0.03784211922922785
10,L,kappa_selective,0.021539807440257297,7.872725660273971e-08,0.08167870035934853
10,L,factorized_joint_weighted,0.021539807440257297,7.872725660273971e-08,0.08178680744660345
10,L,joint_MAP,0.021539807440257297,7.872725660273971e-08,0.6262752819300776
10,S,joint_uniform,0.36101951589483394,0.00193010087727441,0.03784211922922785
10,S,kappa_selective,0.36101951589483394,0.00193010087727441,0.2328041233628574
10,S,factorized_joint_weighted,0.36101951589483394,0.00193010087727441,0.2504781530683513
10,S,joint_MAP,0.36101951589483394,0.00193010087727441,0.49727828666155355
10,J,joint_uniform,0.4972363198674634,0.22492207407419895,0.03784211922922785
10,J,kappa_selective,0.4972363198674634,0.22492207407419895,0.21766426310842363
10,J,factorized_joint_weighted,0.4972363198674634,0.22492207407419895,0.04328409303287006
10,J,joint_MAP,0.4972363198674634,0.22492207407419895,0.01642568874410613
11,L,joint_uniform,0.01054960841611563,5.1972200987293604e-09,0.49566477625710065
11,L,kappa_selective,0.01054960841611563,5.1972200987293604e-09,0.4453283521797701
11,L,factorized_joint_weighted,0.01054960841611563,5.1972200987293604e-09,0.445357408201519
11,L,joint_MAP,0.01054960841611563,5.1972200987293604e-09,0.4290382749458173
11,S,joint_uniform,0.37556218262235097,0.0026121728965686764,0.49566477625710065
11,S,kappa_selective,0.37556218262235097,0.0026121728965686764,0.25362417067624526
11,S,factorized_joint_weighted,0.37556218262235097,0.0026121728965686764,0.27418645744251235
11,S,joint_MAP,0.37556218262235097,0.0026121728965686764,0.5142085849265746
11,J,joint_uniform,0.45892835238732155,0.08509448993696878,0.49566477625710065
11,J,kappa_selective,0.45892835238732155,0.08509448993696878,0.23362540113820676
11,J,factorized_joint_weighted,0.45892835238732155,0.08509448993696878,0.15588667328337996
11,J,joint_MAP,0.45892835238732155,0.08509448993696878,0.13330697308951475
12,L,joint_uniform,0.0066175783594421,7.283021963289116e-09,0.02610737559191791
12,L,kappa_selective,0.0066175783594421,7.283021963289116e-09,0.030420766580398585
12,L,factorized_joint_weighted,0.0066175783594421,7.283021963289116e-09,0.030442229354530153
12,L,joint_MAP,0.0066175783594421,7.283021963289116e-09,0.07038133391739351
12,S,joint_uniform,0.34202453274414335,0.00626830025381786,0.02610737559191791
12,S,kappa_selective,0.34202453274414335,0.00626830025381786,0.216543513999548
12,S,factorized_joint_weighted,0.34202453274414335,0.00626830025381786,0.24835061819419338
12,S,joint_MAP,0.34202453274414335,0.00626830025381786,0.46861644333409985
12,J,joint_uniform,0.517044237528695,0.2715532949481374,0.02610737559191791
12,J,kappa_selective,0.517044237528695,0.2715532949481374,0.15670631426694812
12,J,factorized_joint_weighted,0.517044237528695,0.2715532949481374,0.03490111927962317
12,J,joint_MAP,0.517044237528695,0.2715532949481374,0.0868928999144808
13,L,joint_uniform,0.004370504739733327,2.08092885145561e-08,0.5565416869411752
13,L,kappa_selective,0.004370504739733327,2.08092885145561e-08,0.5877160589712558
13,L,factorized_joint_weighted,0.004370504739733327,2.08092885145561e-08,0.5877740765111072
13,L,joint_MAP,0.004370504739733327,2.08092885145561e-08,1.0927167150510626
13,S,joint_uniform,0.5448117307546942,0.01207902727459409,0.5565416869411752
13,S,kappa_selective,0.5448117307546942,0.01207902727459409,0.25178673595728673
13,S,factorized_joint_weighted,0.5448117307546942,0.01207902727459409,0.20767937789443594
13,S,joint_MAP,0.5448117307546942,0.01207902727459409,0.06659774939214946
13,J,joint_uniform,0.6019531052124457,0.3084568950621426,0.5565416869411752
13,J,kappa_selective,0.6019531052124457,0.3084568950621426,0.2531742441540506
13,J,factorized_joint_weighted,0.6019531052124457,0.3084568950621426,0.056278035116538
13,J,joint_MAP,0.6019531052124457,0.3084568950621426,0.012565486897554346
14,L,joint_uniform,0.008954398374856787,1.1259604193458728e-07,0.3176800444429224
14,L,kappa_selective,0.008954398374856787,1.1259604193458728e-07,0.36368124872601215
14,L,factorized_joint_weighted,0.008954398374856787,1.1259604193458728e-07,0.3638166103904999
14,L,joint_MAP,0.008954398374856787,1.1259604193458728e-07,0.940171614410425
14,S,joint_uniform,0.33084738851602935,0.008294516246953543,0.3176800444429224
14,S,kappa_selective,0.33084738851602935,0.008294516246953543,0.23736764112038716
14,S,factorized_joint_weighted,0.33084738851602935,0.008294516246953543,0.20068207573043045
14,S,joint_MAP,0.33084738851602935,0.008294516246953543,0.004166569458793264
14,J,joint_uniform,0.4950657066082196,0.219806591290859,0.3176800444429224
14,J,kappa_selective,0.4950657066082196,0.219806591290859,0.23558335458288054
14,J,factorized_joint_weighted,0.4950657066082196,0.219806591290859,0.06325586952350164
14,J,joint_MAP,0.4950657066082196,0.219806591290859,0.004166569458793264
15,L,joint_uniform,0.007568658520350158,1.8520670663768612e-08,0.004246808257500325
15,L,kappa_selective,0.007568658520350158,1.8520670663768612e-08,0.04222579300913525
15,L,factorized_joint_weighted,0.007568658520350158,1.8520670663768612e-08,0.04227868164569607
15,L,joint_MAP,0.007568658520350158,1.8520670663768612e-08,0.0917047887276379
15,S,joint_uniform,0.33061628373293683,0.0023395675423619755,0.004246808257500325
15,S,kappa_selective,0.33061628373293683,0.0023395675423619755,0.04050335728448696
15,S,factorized_joint_weighted,0.33061628373293683,0.0023395675423619755,0.059486237296759045
15,S,joint_MAP,0.33061628373293683,0.0023395675423619755,0.2760104413337684
15,J,joint_uniform,0.4082061640179313,0.04645765953853731,0.004246808257500325
15,J,kappa_selective,0.4082061640179313,0.04645765953853731,0.031210843571061166
15,J,factorized_joint_weighted,0.4082061640179313,0.04645765953853731,0.011233907429636385
15,J,joint_MAP,0.4082061640179313,0.04645765953853731,0.025538241142375684
16,L,joint_uniform,0.025570373543918334,3.8599193175059554e-08,0.5385724749911155
16,L,kappa_selective,0.025570373543918334,3.8599193175059554e-08,0.459109994517756
16,L,factorized_joint_weighted,0.025570373543918334,3.8599193175059554e-08,0.45903091412590763
16,L,joint_MAP,0.025570373543918334,3.8599193175059554e-08,0.0843444821370103
16,S,joint_uniform,0.48304250885855937,0.00583539854122439,0.5385724749911155
16,S,kappa_selective,0.48304250885855937,0.00583539854122439,0.24770600804870518
16,S,factorized_joint_weighted,0.48304250885855937,0.00583539854122439,0.2170352161954581
16,S,joint_MAP,0.48304250885855937,0.00583539854122439,0.04109132117629221
16,J,joint_uniform,0.6391925603885408,0.3895674226271957,0.5385724749911155
16,J,kappa_selective,0.6391925603885408,0.3895674226271957,0.2269675682103282
16,J,factorized_joint_weighted,0.6391925603885408,0.3895674226271957,0.008419220596088607
16,J,joint_MAP,0.6391925603885408,0.3895674226271957,0.04109132117629221
17,L,joint_uniform,0.11288135587408787,5.786095618187659e-07,0.1459911747967646
17,L,kappa_selective,0.11288135587408787,5.786095618187659e-07,0.03792208727879442
17,L,factorized_joint_weighted,0.11288135587408787,5.786095618187659e-07,0.038054453776500526
17,L,joint_MAP,0.11288135587408787,5.786095618187659e-07,0.4786639459380088
17,S,joint_uniform,0.330666683252791,1.714714581413368e-05,0.1459911747967646
17,S,kappa_selective,0.330666683252791,1.714714581413368e-05,0.05537100671741403
17,S,factorized_joint_weighted,0.330666683252791,1.714714581413368e-05,0.05414643574540121
17,S,joint_MAP,0.330666683252791,1.714714581413368e-05,0.04836982723203886
17,J,joint_uniform,0.4091281363100202,0.048091618653386736,0.1459911747967646
17,J,kappa_selective,0.4091281363100202,0.048091618653386736,0.0644690344018607
17,J,factorized_joint_weighted,0.4091281363100202,0.048091618653386736,0.025567830107002063
17,J,joint_MAP,0.4091281363100202,0.048091618653386736,0.0328683793930366
18,L,joint_uniform,0.000579722565674845,1.141614636157584e-08,0.3171350745369642
18,L,kappa_selective,0.000579722565674845,1.141614636157584e-08,0.3187708717634701
18,L,factorized_joint_weighted,0.000579722565674845,1.141614636157584e-08,0.318813990169758
18,L,joint_MAP,0.000579722565674845,1.141614636157584e-08,0.5941105529139626
18,S,joint_uniform,0.33097112001761564,0.004924143310320095,0.3171350745369642
18,S,kappa_selective,0.33097112001761564,0.004924143310320095,0.2070145261184567
18,S,factorized_joint_weighted,0.33097112001761564,0.004924143310320095,0.1787374539814801
18,S,joint_MAP,0.33097112001761564,0.004924143310320095,0.04600799540630026
18,J,joint_uniform,0.5623162385671319,0.3967824501265558,0.3171350745369642
18,J,kappa_selective,0.5623162385671319,0.3967824501265558,0.20509960758638016
18,J,factorized_joint_weighted,0.5623162385671319,0.3967824501265558,0.018653970726472173
18,J,joint_MAP,0.5623162385671319,0.3967824501265558,0.04600799540630026
19,L,joint_uniform,0.15124338655891034,4.510931771450899e-07,0.4932999429455857
19,L,kappa_selective,0.15124338655891034,4.510931771450899e-07,0.30531720242604277
19,L,factorized_joint_weighted,0.15124338655891034,4.510931771450899e-07,0.305046963668843
19,L,joint_MAP,0.15124338655891034,4.510931771450899e-07,0.130301741982033
19,S,joint_uniform,0.5576993209326963,0.015469628416555858,0.4932999429455857
19,S,kappa_selective,0.5576993209326963,0.015469628416555858,0.18465899896801177
19,S,factorized_joint_weighted,0.5576993209326963,0.015469628416555858,0.13479009946206383
19,S,joint_MAP,0.5576993209326963,0.015469628416555858,0.130301741982033
19,J,joint_uniform,0.7122913002089952,0.1956593975231813,0.4932999429455857
19,J,kappa_selective,0.7122913002089952,0.1956593975231813,0.16425025077393543
19,J,factorized_joint_weighted,0.7122913002089952,0.1956593975231813,0.060770198846091576
19,J,joint_MAP,0.7122913002089952,0.1956593975231813,0.07754510817879101
20,L,joint_uniform,0.03631999117178197,7.99490570413397e-08,0.11169793631134155
20,L,kappa_selective,0.03631999117178197,7.99490570413397e-08,0.20659067691734273
20,L,factorized_joint_weighted,0.03631999117178197,7.99490570413397e-08,0.20670390252893717
20,L,joint_MAP,0.03631999117178197,7.99490570413397e-08,0.734614244245971
20,S,joint_uniform,0.33055010773300775,0.00012513689603921296,0.11169793631134155
20,S,kappa_selective,0.33055010773300775,0.00012513689603921296,0.15786004053878436
20,S,factorized_joint_weighted,0.33055010773300775,0.00012513689603921296,0.1534844100128004
20,S,joint_MAP,0.33055010773300775,0.00012513689603921296,0.12078438300018199
20,J,joint_uniform,0.46963698309316015,0.1649408612404648,0.11169793631134155
20,J,kappa_selective,0.46963698309316015,0.1649408612404648,0.08526245624033395
20,J,factorized_joint_weighted,0.46963698309316015,0.1649408612404648,0.06315564523113135
20,J,joint_MAP,0.46963698309316015,0.1649408612404648,0.09721143904732497
21,L,joint_uniform,0.011122474951754446,5.049545859225901e-08,0.2518470944782593
21,L,kappa_selective,0.011122474951754446,5.049545859225901e-08,0.30379521400593024
21,L,factorized_joint_weighted,0.011122474951754446,5.049545859225901e-08,0.30388365552506524
21,L,joint_MAP,0.011122474951754446,5.049545859225901e-08,0.8730184779410679
21,S,joint_uniform,0.735430091878601,0.024631166843113395,0.2518470944782593
