experiment,family,condition,n,mean_normalized_utility,ci95_low,ci95_high,mean_delta_rmse,delta_rmse_ci95_low,delta_rmse_ci95_high,beneficial_rate,neutral_rate,harmful_rate,catastrophic_harm_rate,fields,b_norm,knowledge_subset,observability,method,architecture,distance
E5b_calibration_tolerance,regime_change,,150,-26.150177322677116,-42.24646328559917,-13.930543140234986,-0.23638235341604266,-0.25110968643687415,-0.22070469540659335,0.02,0.0,0.98,0.8266666666666667,scale,0.3,,,,,
E5b_calibration_tolerance,regime_change,,150,-35.296477608478455,-57.79661280941853,-19.09350034039975,-0.3535480461430874,-0.37052214289165647,-0.33640603113440015,0.0,0.0,1.0,0.9066666666666666,scale,0.4,,,,,
partial_realization,emergent_curvature,,200,0.601268820460653,0.5474120755610935,0.6496630884603286,0.0717974687394628,0.06459020687869556,0.0788228037885648,0.96,0.005,0.035,0.015,,,family_only,,,,
partial_realization,emergent_curvature,,1000,0.6055607844670571,0.5808814708057476,0.6285632437196914,0.07202683153076951,0.068710638579345,0.07537174496591728,0.934,0.002,0.064,0.003,,,onset,,,,
partial_realization,emergent_curvature,,1000,0.686822602901936,0.6620450272630783,0.7098814589049776,0.08137482842834401,0.07816720018309976,0.08461114735446501,0.958,0.003,0.039,0.009,,,onset+scale,,,,
partial_realization,emergent_curvature,,1000,0.7588200031437018,0.7379759750340613,0.7790970273665029,0.08885927884753593,0.08562944331946491,0.0919401591165675,0.952,0.004,0.044,0.004,,,onset+scale+shape,,,,
partial_realization,emergent_curvature,,1000,0.6970262989177567,0.6686741469273777,0.7225432483490519,0.08243317058851748,0.07903942561022434,0.08585224128078195,0.944,0.004,0.052,0.011,,,onset+shape,,,,
partial_realization,emergent_curvature,,1000,0.659382016407061,0.6402862353529618,0.6784830692439094,0.07861264196346482,0.07579787366832226,0.08128060847526926,0.962,0.003,0.035,0.004,,,scale,,,,
partial_realization,emergent_curvature,,1000,0.7982027746805651,0.7832980028861677,0.8123066685806364,0.09307053672245083,0.09042254901550092,0.09571962846165552,0.985,0.002,0.013,0.0,,,scale+shape,,,,
partial_realization,emergent_curvature,,1000,0.7094844237163643,0.6911931167624746,0.7274120639900352,0.08295759366169494,0.08004725105976175,0.08587980507340383,0.97,0.001,0.029,0.002,,,shape,,,,
partial_realization,regime_change,,200,0.7699092961441254,0.7420430156349149,0.7964418489751962,0.14758688217127122,0.13805251399526602,0.15750006178607445,0.99,0.01,0.0,0.0,,,family_only,,,,
partial_realization,regime_change,,1000,0.792140989903671,0.7804190951647167,0.8031476378245861,0.15262691509299448,0.14807189541536325,0.15711401807803824,0.997,0.002,0.001,0.0,,,onset,,,,
partial_realization,regime_change,,1000,0.7215928492532953,0.6969629114562709,0.7453400229970141,0.13980177988169418,0.13421216692268859,0.14527870069385165,0.94,0.004,0.056,0.007,,,onset+scale,,,,
partial_realization,regime_change,,1000,0.6530260232015589,0.6233801488429842,0.6822332649127155,0.12712933849726313,0.1211414088109014,0.13315358680677344,0.909,0.005,0.086,0.011,,,onset+scale+shape,,,,
partial_realization,regime_change,,1000,0.6647278291241889,0.6371815450359026,0.6901405876976239,0.1305592689062782,0.12471067439508983,0.13625600160494938,0.921,0.007,0.072,0.01,,,onset+shape,,,,
partial_realization,regime_change,,1000,0.7681606277340953,0.7525396232360406,0.7831128586589856,0.14800795302538572,0.14340135444344357,0.1524812862387609,0.972,0.003,0.025,0.0,,,scale,,,,
partial_realization,regime_change,,1000,0.7669998900543146,0.7454470531997749,0.7874023564376874,0.1469576939082255,0.14172831231504876,0.15224657382817164,0.952,0.0,0.048,0.005,,,scale+shape,,,,
partial_realization,regime_change,,1000,0.7441400399151814,0.7249173243517596,0.7628909677963532,0.14466491745413487,0.139258386105527,0.14981844821389081,0.966,0.003,0.031,0.004,,,shape,,,,
exposure_oracle,emergent_curvature,,250,0.17230430978782593,0.030261508224166976,0.2998832752249747,0.026524952466472084,0.01600294713014588,0.03623419783656256,0.792,0.036,0.172,0.084,,,,0.5333333333,generative_family_oracle,,
exposure_oracle,emergent_curvature,,250,0.3457649453669454,0.25533154766395527,0.4303892566218855,0.039574088250138445,0.03057605022246256,0.04810852178533446,0.84,0.028,0.132,0.072,,,,0.6,generative_family_oracle,,
exposure_oracle,emergent_curvature,,250,0.4451997237430487,0.36621154773863246,0.5160010775350939,0.04959886708174256,0.04203287590068087,0.05656584302646523,0.896,0.016,0.088,0.032,,,,0.7,generative_family_oracle,,
exposure_oracle,emergent_curvature,,250,0.5231447972685052,0.4563434225136505,0.583714961500997,0.060310812109323576,0.05306492995691381,0.06700239949139437,0.912,0.012,0.076,0.024,,,,0.8,generative_family_oracle,,
exposure_oracle,emergent_curvature,,250,0.5735631490956323,0.5124864716096686,0.6258473526740713,0.06967826442842012,0.06297770896055117,0.07597977907962221,0.944,0.012,0.044,0.016,,,,0.9,generative_family_oracle,,
exposure_oracle,regime_change,,250,0.41424906618978474,0.3297250372154472,0.4947808483686599,0.07012712675593917,0.059696224640877045,0.08021627695933138,0.832,0.02,0.148,0.044,,,,0.5333333333,generative_family_oracle,,
exposure_oracle,regime_change,,250,0.5330167267646657,0.47788848404520456,0.5846955721056121,0.0869726616716205,0.07810475762112508,0.0956459346237487,0.908,0.008,0.084,0.02,,,,0.6,generative_family_oracle,,
exposure_oracle,regime_change,,250,0.7112692536673099,0.6748696209983421,0.7442083206049024,0.12780544750093695,0.12015962417951163,0.13522517686929078,0.964,0.004,0.032,0.004,,,,0.7,generative_family_oracle,,
exposure_oracle,regime_change,,250,0.7207453625020283,0.6877198002650698,0.7529386823300507,0.13354530635397485,0.12479302641117852,0.14219065558464422,0.972,0.008,0.02,0.004,,,,0.8,generative_family_oracle,,
exposure_oracle,regime_change,,250,0.7784615915140669,0.7540196917341306,0.8019959272612247,0.14536806314751896,0.1366801595422179,0.15394339309733093,0.996,0.0,0.004,0.0,,,,0.9,generative_family_oracle,,
exposure_oracle,emergent_curvature,,250,0.9546140462570166,0.9493963517254276,0.9596469930194059,0.09518218643730955,0.09158811955201396,0.09883582883996657,1.0,0.0,0.0,0.0,,,,0.5333333333,parameter_oracle,,
exposure_oracle,emergent_curvature,,250,0.9624073743001007,0.958442099290996,0.9661665986982709,0.10244129958941434,0.09877928672801113,0.10610140426646399,1.0,0.0,0.0,0.0,,,,0.6,parameter_oracle,,
exposure_oracle,emergent_curvature,,250,0.9582104724678071,0.9534222473089692,0.9626611068163394,0.1027609390942844,0.09889449820979865,0.10683281671720199,1.0,0.0,0.0,0.0,,,,0.7,parameter_oracle,,
exposure_oracle,emergent_curvature,,250,0.9639658913781188,0.9600839235479772,0.9675350914589201,0.10936954011675647,0.10499201032791348,0.113641829930119,1.0,0.0,0.0,0.0,,,,0.8,parameter_oracle,,
exposure_oracle,emergent_curvature,,250,0.960694643740099,0.9556402691231177,0.9654020697431568,0.11346063838560841,0.1082621805452415,0.11878336806203058,1.0,0.0,0.0,0.0,,,,0.9,parameter_oracle,,
exposure_oracle,regime_change,,250,0.984902108734281,0.9832061443731255,0.9865402747087954,0.13766298848819078,0.13144545230443105,0.14376428310797595,1.0,0.0,0.0,0.0,,,,0.5333333333,parameter_oracle,,
exposure_oracle,regime_change,,250,0.9861973880057505,0.9846054719353218,0.9877287672054706,0.151751679746817,0.14581583413468718,0.1578137155210548,1.0,0.0,0.0,0.0,,,,0.6,parameter_oracle,,
exposure_oracle,regime_change,,250,0.9895590868442491,0.9883797080214333,0.9906603640042225,0.1744462546921483,0.16756036624203743,0.18146908160312467,1.0,0.0,0.0,0.0,,,,0.7,parameter_oracle,,
exposure_oracle,regime_change,,250,0.9900304641081489,0.988888089623119,0.9911157550569689,0.17859576685481718,0.17089314150940188,0.18617735376463096,1.0,0.0,0.0,0.0,,,,0.8,parameter_oracle,,
exposure_oracle,regime_change,,250,0.989680009089146,0.9884160637353748,0.9908182860252863,0.1799617076996908,0.17186461403831577,0.1887275081131162,1.0,0.0,0.0,0.0,,,,0.9,parameter_oracle,,
