experiment,metric,band,family,n,mean_selection_regret,ci95_low,ci95_high,winner_disagreement_rate,incompatible_selection_rate
E1_E2_prior_evaluation_metric,mse,D1,asymptotic_bound,900,0.007640222514376569,0.0064186068206876475,0.008868461354318733,0.32666666666666666,0.19444444444444445
E1_E2_prior_evaluation_metric,mse,D1,emergent_curvature,900,0.012973419795477958,0.011357133995632216,0.01472728340969822,0.7022222222222222,0.33666666666666667
E1_E2_prior_evaluation_metric,mse,D1,regime_change,900,0.015697958169898652,0.014329765434515319,0.017180766782937937,0.76,0.23222222222222222
E1_E2_prior_evaluation_metric,mse,D2,asymptotic_bound,900,0.026031670713500998,0.021594253396934753,0.030755124985081844,0.3111111111111111,0.19444444444444445
E1_E2_prior_evaluation_metric,mse,D2,emergent_curvature,900,0.03558197873438639,0.03151344306879431,0.0400468565848836,0.6822222222222222,0.33666666666666667
E1_E2_prior_evaluation_metric,mse,D2,regime_change,900,0.040686628556433575,0.03735008921124826,0.04412584725428285,0.7388888888888889,0.23222222222222222
E1_E2_prior_evaluation_metric,mse,D3,asymptotic_bound,900,0.0797492182673947,0.06531817006906404,0.09573496244486472,0.3088888888888889,0.19444444444444445
E1_E2_prior_evaluation_metric,mse,D3,emergent_curvature,900,0.10195237741225033,0.08964001761007809,0.1149465049031174,0.6833333333333333,0.33666666666666667
E1_E2_prior_evaluation_metric,mse,D3,regime_change,900,0.11028338648107879,0.10074803224025153,0.12013025786226778,0.7266666666666667,0.23222222222222222
E1_E2_prior_evaluation_metric,spearman,D1,asymptotic_bound,900,0.06668262381772636,0.0625042529709534,0.07087458594533907,0.9555555555555556,0.0
E1_E2_prior_evaluation_metric,spearman,D1,emergent_curvature,900,0.02025135895482038,0.01888056257787636,0.021634746266698434,0.9711111111111111,0.0
E1_E2_prior_evaluation_metric,spearman,D1,regime_change,900,0.018972389133926702,0.017188785472541192,0.02077008418324522,0.9455555555555556,0.0
E1_E2_prior_evaluation_metric,spearman,D2,asymptotic_bound,900,0.12981969133490975,0.1220048816003073,0.13792063214955566,0.9577777777777777,0.0
E1_E2_prior_evaluation_metric,spearman,D2,emergent_curvature,900,0.0506554758495088,0.04765463166788663,0.053691475071482385,0.9888888888888889,0.0
E1_E2_prior_evaluation_metric,spearman,D2,regime_change,900,0.049733686102651234,0.04565510456545052,0.0539306377523211,0.9544444444444444,0.0
E1_E2_prior_evaluation_metric,spearman,D3,asymptotic_bound,900,0.23881549596781068,0.22502116770980485,0.25263599050736507,0.9555555555555556,0.0
E1_E2_prior_evaluation_metric,spearman,D3,emergent_curvature,900,0.12191178273017234,0.11560486041818668,0.12805752785273775,0.9933333333333333,0.0
E1_E2_prior_evaluation_metric,spearman,D3,regime_change,900,0.13381734452701777,0.12414899439169019,0.14322428892474826,0.9611111111111111,0.0
