primitive,separability,dof,prefix,mean_S,mean_ESS,E_struct,d_eff,V_f_norm
curvature,high,5,0.2,0.5418108414202734,601.3180046817291,0.499814841990658,3.4625415742895385,1.0674992637722998
curvature,high,5,0.3,0.5215854229098195,473.4473418122547,0.5015517416002955,3.289304395781867,0.9954682943592051
curvature,high,5,0.4,0.5078422199494085,386.8321468801469,0.49966233402367727,3.200308431077072,0.9619097358886651
curvature,high,5,0.5,0.5137692511379729,306.5941124139105,0.48014223585247134,3.0859365208405265,0.9484877560721764
curvature,high,5,0.6,0.5546528025437861,230.63228240039982,0.39625320853179224,2.9134221330991585,0.8552974321081915
curvature,high,5,0.7,0.6179527640855643,166.61829829595627,0.28273143036063236,2.7142727503037505,0.6426331513974751
curvature,low,1,0.2,0.2876820724517809,3360.596564476653,0.4959297403015404,1.0,0.21556512019992988
curvature,low,1,0.3,0.2876820724517809,2500.849526982746,0.4854827467814568,1.0,0.17279664664270755
curvature,low,1,0.4,0.2876820724517809,1878.9841969552501,0.4597734557913798,1.0,0.13350359428232483
curvature,low,1,0.5,0.2876820724517809,1437.536761172383,0.4122267280259444,1.0,0.09957921378777883
curvature,low,1,0.6,0.2876820724517809,1112.6807408036018,0.3301858870652592,1.0,0.07420581685304568
curvature,low,1,0.7,0.2876820724517809,872.1866238352086,0.21985574246781905,1.0,0.05568097535201293
curvature,low,3,0.2,0.2916230597456697,1773.862496814635,0.4959297403015404,2.2326547831268284,0.6170202128506362
curvature,low,3,0.3,0.29221565800476934,1547.4330505915011,0.4854827467814568,2.244275479450213,0.6173485197299883
curvature,low,3,0.4,0.2928157324356285,1243.2803774808674,0.4597734557913798,2.244120221156993,0.596877091691376
curvature,low,3,0.5,0.2926461559512402,949.1638683142336,0.4122267280259444,2.1997241481810215,0.531614759147061
curvature,low,3,0.6,0.29201121244821787,702.2678946728124,0.3301858870652592,2.086438627425948,0.42652659640029406
curvature,low,3,0.7,0.2898477201143948,512.0156609110803,0.21985574246781905,1.9332200252049478,0.3083265814144794
curvature,low,5,0.2,0.5202538775391602,600.2969543386914,0.4959297403015404,3.4648352516062455,1.0380641060816662
curvature,low,5,0.3,0.4927757175517462,466.5928390820027,0.4854827467814568,3.291868172628963,0.9645631052784472
curvature,low,5,0.4,0.47813239454228906,373.1929305120777,0.4597734557913798,3.204662399620829,0.9320641103789974
curvature,low,5,0.5,0.4921281036150604,284.3586530364335,0.4122267280259444,3.0900766555171137,0.929900133703956
curvature,low,5,0.6,0.5626164370070391,200.71148385465403,0.3301858870652592,2.870948032109073,0.875648618230885
curvature,low,5,0.7,0.6290716840204524,133.380249039369,0.21985574246781905,2.695149700408931,0.6217118764662591
curvature,mid,1,0.2,0.2876820724517809,3343.2683000423835,0.4979488528949119,1.0,0.21951541392155385
curvature,mid,1,0.3,0.2876820724517809,2489.1039685190844,0.48899749901952827,1.0,0.17360415457141246
curvature,mid,1,0.4,0.2876820724517809,1876.4263968072592,0.4603602448477712,1.0,0.1330371642210226
curvature,mid,1,0.5,0.2876820724517809,1470.7591316485211,0.39879915796542775,1.0,0.10207587864659558
curvature,mid,1,0.6,0.2876820724517809,1178.8149833256332,0.29680567404216895,1.0,0.07760107983258258
curvature,mid,1,0.7,0.2876820724517809,953.5695553551608,0.19338912654097018,1.0,0.059377679544127204
curvature,mid,3,0.2,0.2918748437642898,1746.1415159960945,0.4979488528949119,2.227067695163616,0.6385292797938261
