primitive,separability,dof,prefix,lo,hi
direction,mid,1,0.5,0.0,0.15
direction,mid,1,0.6,0.0,0.18333333333333335
direction,mid,1,0.7,0.0,0.18333333333333335
direction,mid,3,0.2,0.0,0.0
direction,mid,3,0.3,0.0,0.0
direction,mid,3,0.4,0.0,0.049999999999999996
direction,mid,3,0.5,0.0,0.15
direction,mid,3,0.6,0.0,0.18333333333333335
direction,mid,3,0.7,0.0,0.18333333333333335
direction,mid,5,0.2,0.0,0.0
direction,mid,5,0.3,0.0,0.0
direction,mid,5,0.4,0.0,0.049999999999999996
direction,mid,5,0.5,0.0,0.09999999999999999
direction,mid,5,0.6,0.0,0.13333333333333333
direction,mid,5,0.7,0.0,0.13333333333333333
inflection,high,1,0.2,0.0,0.0
inflection,high,1,0.3,0.0,0.0
inflection,high,1,0.4,0.0,0.0
inflection,high,1,0.5,0.0,0.0
inflection,high,1,0.6,0.0,0.0
inflection,high,1,0.7,0.0,0.0
inflection,high,3,0.2,0.0,0.0
inflection,high,3,0.3,0.0,0.0
inflection,high,3,0.4,0.0,0.0
inflection,high,3,0.5,0.0,0.0
inflection,high,3,0.6,0.0,0.0
inflection,high,3,0.7,0.0,0.0
inflection,high,5,0.2,0.0,0.0
inflection,high,5,0.3,0.0,0.0
inflection,high,5,0.4,0.0,0.0
inflection,high,5,0.5,0.0,0.0
inflection,high,5,0.6,0.0,0.0
inflection,high,5,0.7,0.0,0.0
inflection,low,1,0.2,0.0,0.0
inflection,low,1,0.3,0.0,0.0
inflection,low,1,0.4,0.0,0.0
inflection,low,1,0.5,0.0,0.0
inflection,low,1,0.6,0.0,0.0
inflection,low,1,0.7,0.0,0.0
inflection,low,3,0.2,0.0,0.0
inflection,low,3,0.3,0.0,0.0
inflection,low,3,0.4,0.0,0.0
inflection,low,3,0.5,0.0,0.0
inflection,low,3,0.6,0.0,0.0
inflection,low,3,0.7,0.0,0.0
inflection,low,5,0.2,0.0,0.0
inflection,low,5,0.3,0.0,0.0
inflection,low,5,0.4,0.0,0.0
inflection,low,5,0.5,0.0,0.0
inflection,low,5,0.6,0.0,0.0
inflection,low,5,0.7,0.0,0.0
inflection,mid,1,0.2,0.0,0.0
inflection,mid,1,0.3,0.0,0.0
inflection,mid,1,0.4,0.0,0.0
inflection,mid,1,0.5,0.0,0.0
inflection,mid,1,0.6,0.0,0.0
inflection,mid,1,0.7,0.0,0.0
inflection,mid,3,0.2,0.0,0.0
inflection,mid,3,0.3,0.0,0.0
inflection,mid,3,0.4,0.0,0.0
inflection,mid,3,0.5,0.0,0.0
inflection,mid,3,0.6,0.0,0.0
inflection,mid,3,0.7,0.0,0.0
inflection,mid,5,0.2,0.0,0.0
inflection,mid,5,0.3,0.0,0.0
inflection,mid,5,0.4,0.0,0.0
inflection,mid,5,0.5,0.0,0.0
inflection,mid,5,0.6,0.0,0.0
inflection,mid,5,0.7,0.0,0.0
regime,high,1,0.2,0.0,0.0
regime,high,1,0.3,0.0,0.0
regime,high,1,0.4,0.0,0.0
regime,high,1,0.5,0.0,0.0
regime,high,1,0.6,0.0,0.0
regime,high,1,0.7,0.0,0.18333333333333335
regime,high,3,0.2,0.0,0.0
regime,high,3,0.3,0.0,0.0
regime,high,3,0.4,0.0,0.0
regime,high,3,0.5,0.0,0.0
regime,high,3,0.6,0.0,0.0
regime,high,3,0.7,0.0,0.18333333333333335
regime,high,5,0.2,0.0,0.0
regime,high,5,0.3,0.0,0.0
regime,high,5,0.4,0.0,0.0
regime,high,5,0.5,0.0,0.0
regime,high,5,0.6,0.0,0.0
regime,high,5,0.7,0.0,0.18333333333333335
regime,low,1,0.2,0.0,0.0
regime,low,1,0.3,0.0,0.0
regime,low,1,0.4,0.0,0.0
regime,low,1,0.5,0.0,0.0
regime,low,1,0.6,0.0,0.0
regime,low,1,0.7,0.0,0.0
regime,low,3,0.2,0.0,0.0
regime,low,3,0.3,0.0,0.0
regime,low,3,0.4,0.0,0.0
regime,low,3,0.5,0.0,0.0
regime,low,3,0.6,0.0,0.0
regime,low,3,0.7,0.0,0.0
regime,low,5,0.2,0.0,0.0
