latent_task_id,factorial,primitive,generator,replicate,engine,action,knowledge_tier,support_fraction,noise_ratio,exposure,ood_distance,effect_strength,sample_count,heterogeneity_cv,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8_01460,support_noise,turning,basis,0,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27755559906172544,65.89230242031807,0.0021066667880363338,0.07777082692935149,-0.07566416014131515,-35.91652964341989,0,1,1,0
e8_01460,support_noise,turning,basis,0,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27755559906172544,65.89230242031807,0.0294042583234699,0.09398192788805337,-0.06457766956458347,-2.196201273100599,0,1,1,0
e8_01461,support_noise,turning,basis,1,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.271682321314929,65.89230242031807,0.00030803818658468944,0.12724597181322375,-0.12693793362663905,-412.0850568367432,0,1,1,0
e8_01461,support_noise,turning,basis,1,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.271682321314929,65.89230242031807,0.04364774789188526,0.14848414170372506,-0.1048363938118398,-2.401874068543417,0,1,1,0
e8_01462,support_noise,turning,basis,2,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2725128811739268,65.89230242031807,0.00017952572781741963,0.04124961148730659,-0.04107008575948917,-228.76991648382602,0,1,1,0
e8_01462,support_noise,turning,basis,2,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2725128811739268,65.89230242031807,0.030094326056164723,0.05566327684596016,-0.025568950789795437,-0.8496269609785039,0,1,0,0
e8_01463,support_noise,turning,basis,3,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.274147508825486,65.89230242031807,0.001262015731186248,0.14221655073676068,-0.14095453500557442,-111.68999840682048,0,1,1,0
e8_01463,support_noise,turning,basis,3,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.274147508825486,65.89230242031807,0.07001909636815973,0.17389548028069138,-0.10387638391253165,-1.4835436231046262,0,1,1,0
e8_01464,support_noise,turning,basis,4,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2679218073088947,65.89230242031807,0.000978448428825821,0.03676520966187752,-0.035786761233051696,-36.5750101678811,0,1,1,0
e8_01464,support_noise,turning,basis,4,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2679218073088947,65.89230242031807,0.02062689611158933,0.048741441483993474,-0.028114545372404143,-1.363004167971149,0,1,1,0
e8_01465,support_noise,turning,basis,5,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2831047199532203,65.89230242031807,0.0007592462217802907,0.13504879481444915,-0.13428954859266887,-176.8721986890958,0,1,1,0
e8_01465,support_noise,turning,basis,5,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2831047199532203,65.89230242031807,0.08083677048926036,0.17242229295228761,-0.09158552246302726,-1.1329685971954426,0,1,1,0
e8_01466,support_noise,turning,basis,6,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27466688171381587,65.89230242031807,0.0017915816624724345,0.043080956467732925,-0.041289374805260494,-23.04632586397427,0,1,1,0
e8_01466,support_noise,turning,basis,6,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27466688171381587,65.89230242031807,0.04302092937716473,0.06152706271000316,-0.01850613333283843,-0.4301658193061116,0,1,0,0
e8_01467,support_noise,turning,basis,7,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2753227275955455,65.89230242031807,0.0008729295135756202,0.02731788878409763,-0.026444959270522008,-30.294495556921195,0,1,1,0
e8_01467,support_noise,turning,basis,7,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2753227275955455,65.89230242031807,0.02345767377763038,0.04198462290255042,-0.018526949124920044,-0.7898033411389516,0,1,0,0
e8_01468,support_noise,turning,basis,8,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2794841256386808,65.89230242031807,0.0003141141707274122,0.05521488682170171,-0.054900772650974296,-174.7796749310527,0,1,1,0
e8_01468,support_noise,turning,basis,8,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2794841256386808,65.89230242031807,0.07714449634605083,0.08157792045367723,-0.004433424107626399,-0.057469091349552304,0,1,0,0
e8_01469,support_noise,turning,basis,9,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.277778379097043,65.89230242031807,0.00024729405320285424,0.1383768529117337,-0.13812955885853084,-558.5640134468732,0,1,1,0
e8_01469,support_noise,turning,basis,9,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.277778379097043,65.89230242031807,0.04818034928190996,0.16197240406203164,-0.11379205478012169,-2.361793894733068,0,1,1,0
e8_01470,support_noise,turning,basis,10,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2763526839015923,65.89230242031807,0.0010702558561691347,0.09457004330639918,-0.09349978745023005,-87.36208908484971,0,1,1,0
e8_01470,support_noise,turning,basis,10,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2763526839015923,65.89230242031807,0.040136855166940724,0.11349944103484788,-0.07336258586790716,-1.827811012167522,0,1,1,0
e8_01471,support_noise,turning,basis,11,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2698121332985006,65.89230242031807,0.0015087742060817364,0.03748911853053128,-0.03598034432444954,-23.847401539220336,0,1,1,0
e8_01471,support_noise,turning,basis,11,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2698121332985006,65.89230242031807,0.030164796305377762,0.05716660130961632,-0.02700180500423856,-0.8951429583969939,0,1,0,0
e8_01472,support_noise,turning,basis,12,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2742138990706917,65.89230242031807,3.612740845847323e-05,0.04563665468540507,-0.0456005272769466,-1262.2141809413836,0,1,1,0
e8_01472,support_noise,turning,basis,12,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2742138990706917,65.89230242031807,0.020132736561351665,0.061195571092428076,-0.04106283453107641,-2.0396052174001897,0,1,1,0
e8_01473,support_noise,turning,basis,13,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2793998172105918,65.89230242031807,0.0006125956454262957,0.02275187891556585,-0.022139283270139552,-36.14012511423122,0,1,1,0
e8_01473,support_noise,turning,basis,13,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2793998172105918,65.89230242031807,0.022166251783175276,0.04168736582430466,-0.019521114041129387,-0.8806682443238504,0,1,0,0
e8_01474,support_noise,turning,basis,14,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2598042227481169,65.89230242031807,0.00023979323930882444,0.058895845547540966,-0.05865605230823214,-244.61095098969952,0,1,1,0
e8_01474,support_noise,turning,basis,14,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2598042227481169,65.89230242031807,0.04557356791826553,0.07759668083159754,-0.032023112913332014,-0.702668550567826,0,1,0,0
e8_01475,support_noise,turning,basis,15,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27101286749407627,65.89230242031807,0.0009315174406094387,0.05079168042865421,-0.04986016298804477,-53.525742851818336,0,1,1,0
e8_01475,support_noise,turning,basis,15,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27101286749407627,65.89230242031807,0.04304557438725358,0.06865687744230099,-0.025611303055047413,-0.5949810966544169,0,1,0,0
e8_01476,support_noise,turning,basis,16,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.28796659686167964,65.89230242031807,0.0006676690871185586,0.03130203671679119,-0.03063436762967263,-45.88256101818423,0,1,1,0
e8_01476,support_noise,turning,basis,16,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.28796659686167964,65.89230242031807,0.024850423722666153,0.049438118808233046,-0.024587695085566894,-0.9894275993024769,0,1,0,0
e8_01477,support_noise,turning,basis,17,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.271504203119073,65.89230242031807,0.0011885207792226662,0.11335672430452348,-0.11216820352530081,-94.37630833737943,0,1,1,0
e8_01477,support_noise,turning,basis,17,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.271504203119073,65.89230242031807,0.06084173189522542,0.1399397496680255,-0.07909801777280008,-1.3000619033825915,0,1,1,0
e8_01478,support_noise,turning,basis,18,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27961159196825336,65.89230242031807,0.00037127144463577563,0.12482820780003759,-0.12445693635540181,-335.2181756867847,0,1,1,0
e8_01478,support_noise,turning,basis,18,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.27961159196825336,65.89230242031807,0.049988038222903174,0.14806871906498573,-0.09808068084208255,-1.9620830168355081,0,1,1,0
e8_01479,support_noise,turning,basis,19,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.270357224666402,65.89230242031807,0.0005595562091105906,0.038841495123396956,-0.03828193891428636,-68.4148228381473,0,1,1,0
e8_01479,support_noise,turning,basis,19,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.270357224666402,65.89230242031807,0.024906550055706845,0.05410621571046094,-0.029199665654754094,-1.1723689386705554,0,1,1,0
e8_01480,support_noise,turning,ode,0,spline,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2639774307043449,65.89230242031807,0.00030457959500070764,0.0942126341134987,-0.093908054518498,-308.32024226140237,0,1,1,0
e8_01480,support_noise,turning,ode,0,neural,true-full,medium,0.525,0.001,0.55,0.4,0.55,72,0.1,1.0,0.2639774307043449,65.89230242031807,0.05183106145822973,0.11650930648995342,-0.06467824503172369,-1.2478664957276133,0,1,1,0
