metric,knowledge_state,prefix_exposure,window,n_tasks,mean_contrast,ci_2_5,ci_97_5,analysis_role,bootstrap_replicates,bootstrap_unit,source_rows_sha256
D2,existence_only,low,within_scope,2520,0.024562322608265644,0.022042850774423067,0.027143802400214842,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,low,post_scope,2520,0.13291114034545795,0.11877027264130115,0.1472423895585837,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,medium,within_scope,2520,0.005731183733086557,0.005285452713979836,0.006199245252806135,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,existence_only,medium,post_scope,2520,0.054762791931258666,0.05078442624978134,0.05873760800623267,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,high,within_scope,2520,9.447819250061792e-05,7.047632721307708e-05,0.00012185088048799825,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,high,post_scope,2520,0.001146060765025541,0.0008628238652137745,0.0014762836571321318,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,low,within_scope,2520,0.001934502331259389,0.0017607525049845028,0.002122120317421197,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,low,post_scope,2520,0.010437124610363504,0.00948908575781498,0.011443791300677063,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,medium,within_scope,2520,0.0006020169086119516,0.0005073406095742908,0.0007038491393579288,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,narrow,medium,post_scope,2520,0.005031729123533391,0.004223936033786322,0.005893986666940593,covered_scope_result,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,high,within_scope,2520,0.0005166273142385194,0.00044399307660648814,0.0005904091369768984,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,high,post_scope,2520,0.007870441877194191,0.00698905719701267,0.008827166567966963,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,low,within_scope,2520,0.0019701609754831655,0.0017095228540617987,0.0022468573490213874,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,low,post_scope,2520,0.010890260741034528,0.009459811801511233,0.012413759292439989,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,medium,within_scope,2520,0.0009175228045848702,0.0008036543075452188,0.0010393033437467584,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
D2,uncovered_biased,medium,post_scope,2520,0.008171320690046474,0.007158346198023963,0.009202701755652869,validity_failure_stratum,5000,latent_task_id,05093edf39d1bf7a4b49851756b982c1c80d2824a3411522494eefebf22ee858
