latent_task_id,study,primitive,generator,replicate,engine,action,knowledge_tier,sample_count,heterogeneity_cv,exposure,effect_strength,support_fraction,noise_ratio,absolute_horizon,ood_distance,coverage,sharpness,ess,baseline_rmse,prior_rmse,utility,normalized_utility,beneficial,harmful,catastrophic_harm,solver_failure
e8s_00018,A2_fixed_absolute_horizon,direction,spline,18,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05551142280093684,203.55522065047197,0.0017032197408216692,0.0019824344532840175,-0.0002792147124623483,-0.16393346423265928,0,1,0,0
e8s_00018,A2_fixed_absolute_horizon,direction,spline,18,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05551142280093684,203.55522065047197,0.18095413492843246,0.15260808489200495,0.02834605003642751,0.1566477054953091,1,0,0,0
e8s_00019,A2_fixed_absolute_horizon,direction,spline,19,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05819019409062442,203.55522065047197,0.0005801496324745667,0.0008080843957109528,-0.00022793476323638604,-0.3928896106753606,0,1,0,0
e8s_00019,A2_fixed_absolute_horizon,direction,spline,19,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05819019409062442,203.55522065047197,0.21653112592695414,0.18274956983630566,0.03378155609064848,0.15601247139889043,1,0,0,0
e8s_00020,A2_fixed_absolute_horizon,direction,basis,0,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.057110882024149406,203.55522065047197,0.0012226199641660774,0.001338490988591044,-0.00011587102442496664,-0.0947727240034067,0,1,0,0
e8s_00020,A2_fixed_absolute_horizon,direction,basis,0,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.057110882024149406,203.55522065047197,0.2086107280115753,0.17640847461066653,0.032202253400908765,0.15436527981016365,1,0,0,0
e8s_00021,A2_fixed_absolute_horizon,direction,basis,1,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06219602654966293,203.55522065047197,0.004065757730873528,0.00423895747960299,-0.00017319974872946186,-0.04259962353739407,0,1,0,0
e8s_00021,A2_fixed_absolute_horizon,direction,basis,1,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06219602654966293,203.55522065047197,0.1981231899735604,0.16728337386649136,0.03083981610706904,0.15565979990118584,1,0,0,0
e8s_00022,A2_fixed_absolute_horizon,direction,basis,2,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.056613269950114085,203.55522065047197,0.0037132282685015845,0.0038387221850802304,-0.00012549391657864584,-0.03379644543891371,0,1,0,0
e8s_00022,A2_fixed_absolute_horizon,direction,basis,2,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.056613269950114085,203.55522065047197,0.17273738131920566,0.14645754465619604,0.02627983666300962,0.1521375191768507,1,0,0,0
e8s_00023,A2_fixed_absolute_horizon,direction,basis,3,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05765525272050984,203.55522065047197,0.000647526140606058,0.0006675035615513462,-1.997742094528819e-05,-0.030851914220158188,0,1,0,0
e8s_00023,A2_fixed_absolute_horizon,direction,basis,3,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05765525272050984,203.55522065047197,0.2233789433384424,0.18945398872560787,0.03392495461283454,0.1518717660036322,1,0,0,0
e8s_00024,A2_fixed_absolute_horizon,direction,basis,4,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.060209568857700665,203.55522065047197,0.0003599458305054624,0.0007461549813365669,-0.0003862091508311045,-1.0729646466213019,0,1,1,0
e8s_00024,A2_fixed_absolute_horizon,direction,basis,4,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.060209568857700665,203.55522065047197,0.19286256365564533,0.16332275834057972,0.029539805315065615,0.15316505575342615,1,0,0,0
e8s_00025,A2_fixed_absolute_horizon,direction,basis,5,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05714736424329973,203.55522065047197,0.0011694375389651106,0.0012373754767737158,-6.79379378086052e-05,-0.05809454164497458,0,1,0,0
e8s_00025,A2_fixed_absolute_horizon,direction,basis,5,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05714736424329973,203.55522065047197,0.2049587351722304,0.1734721659353189,0.03148656923691151,0.1536239439146265,1,0,0,0
e8s_00026,A2_fixed_absolute_horizon,direction,basis,6,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0672719574736547,203.55522065047197,0.0010383611449541275,0.0011462049004394388,-0.00010784375548531129,-0.1038595829681932,0,1,0,0
e8s_00026,A2_fixed_absolute_horizon,direction,basis,6,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0672719574736547,203.55522065047197,0.19863871366751742,0.1681915244451539,0.03044718922236353,0.15327923072098726,1,0,0,0
e8s_00027,A2_fixed_absolute_horizon,direction,basis,7,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06341101208444835,203.55522065047197,0.004248758914913182,0.004837274887689247,-0.000588515972776065,-0.13851479562899383,0,1,0,0
e8s_00027,A2_fixed_absolute_horizon,direction,basis,7,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06341101208444835,203.55522065047197,0.25120819872292965,0.2127081810204988,0.03850001770243086,0.15325939956639112,1,0,0,0
e8s_00028,A2_fixed_absolute_horizon,direction,basis,8,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05743390481646554,203.55522065047197,0.000427911029983134,0.00040027950516501645,2.7631524818117533e-05,0.06457306047756381,1,0,0,0
e8s_00028,A2_fixed_absolute_horizon,direction,basis,8,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05743390481646554,203.55522065047197,0.1693961996282545,0.14339184385553697,0.026004355772717536,0.15351203763593838,1,0,0,0
e8s_00029,A2_fixed_absolute_horizon,direction,basis,9,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0626493229020157,203.55522065047197,9.543017273518015e-05,4.371534108486071e-05,5.171483165031944e-05,0.5419127951683448,1,0,0,0
e8s_00029,A2_fixed_absolute_horizon,direction,basis,9,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0626493229020157,203.55522065047197,0.17397238385369812,0.14715905804843765,0.02681332580526047,0.1541240351561148,1,0,0,0
e8s_00030,A2_fixed_absolute_horizon,direction,basis,10,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06013531902653724,203.55522065047197,0.002441784164264379,0.002432622936667514,9.161227596864684e-06,0.0037518580597497775,0,0,0,0
e8s_00030,A2_fixed_absolute_horizon,direction,basis,10,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.06013531902653724,203.55522065047197,0.24140987512194334,0.2044990123471206,0.03691086277482275,0.15289707082685813,1,0,0,0
e8s_00031,A2_fixed_absolute_horizon,direction,basis,11,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0545966932779383,203.55522065047197,0.0028225325006578632,0.00290796344559618,-8.543094493831688e-05,-0.030267479619244426,0,1,0,0
e8s_00031,A2_fixed_absolute_horizon,direction,basis,11,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0545966932779383,203.55522065047197,0.17869477702877953,0.15118331376297994,0.02751146326579959,0.15395784769561988,1,0,0,0
e8s_00032,A2_fixed_absolute_horizon,direction,basis,12,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05643153033042237,203.55522065047197,0.0012664624936844363,0.0013688521712031919,-0.00010238967751875555,-0.08084698759682964,0,1,0,0
e8s_00032,A2_fixed_absolute_horizon,direction,basis,12,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05643153033042237,203.55522065047197,0.17192356450269466,0.14542481192255077,0.02649875258014389,0.1541310096541685,1,0,0,0
e8s_00033,A2_fixed_absolute_horizon,direction,basis,13,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05676215621192001,203.55522065047197,0.0008284866621396167,0.0006467640782308021,0.00018172258390881458,0.2193427996046491,1,0,0,0
e8s_00033,A2_fixed_absolute_horizon,direction,basis,13,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05676215621192001,203.55522065047197,0.20524749314635013,0.1738921462361066,0.031355346910243526,0.1527684768743355,1,0,0,0
e8s_00034,A2_fixed_absolute_horizon,direction,basis,14,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05859917764347525,203.55522065047197,0.0006664629780254168,0.000874170606173584,-0.00020770762814816728,-0.31165666360577043,0,1,0,0
e8s_00034,A2_fixed_absolute_horizon,direction,basis,14,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05859917764347525,203.55522065047197,0.18457083611061606,0.1562299552574659,0.028340880853150147,0.15355015694985005,1,0,0,0
e8s_00035,A2_fixed_absolute_horizon,direction,basis,15,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059356025350472116,203.55522065047197,0.0006003102331192542,0.0008923467631131289,-0.0002920365299938747,-0.4864760150371456,0,1,0,0
e8s_00035,A2_fixed_absolute_horizon,direction,basis,15,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.059356025350472116,203.55522065047197,0.22200680217703558,0.18804548104844282,0.033961321128592764,0.1529742368051898,1,0,0,0
e8s_00036,A2_fixed_absolute_horizon,direction,basis,16,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05770850714507762,203.55522065047197,0.0027826357501279453,0.0031429153251169135,-0.00036027957498896814,-0.1294742134224368,0,1,0,0
e8s_00036,A2_fixed_absolute_horizon,direction,basis,16,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05770850714507762,203.55522065047197,0.1555900155176823,0.1314707798237853,0.024119235693897012,0.15501788860709984,1,0,0,0
e8s_00037,A2_fixed_absolute_horizon,direction,basis,17,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.057813511533212625,203.55522065047197,0.0028654819740655756,0.0030236135987752274,-0.0001581316247096518,-0.05518500068778761,0,1,0,0
e8s_00037,A2_fixed_absolute_horizon,direction,basis,17,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.057813511533212625,203.55522065047197,0.15545622588681057,0.1318132902522205,0.02364293563459008,0.15208741560344302,1,0,0,0
e8s_00038,A2_fixed_absolute_horizon,direction,basis,18,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0573084354206174,203.55522065047197,0.0037013964506924036,0.00399258344087774,-0.0002911869901853362,-0.07866949516603798,0,1,0,0
e8s_00038,A2_fixed_absolute_horizon,direction,basis,18,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.0573084354206174,203.55522065047197,0.18170148477699957,0.15382968445491987,0.0278718003220797,0.1533933547999703,1,0,0,0
e8s_00039,A2_fixed_absolute_horizon,direction,basis,19,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.058069954672569216,203.55522065047197,0.00023768484182662292,0.0002030067020275843,3.467813979903862e-05,0.14589966921127548,1,0,0,0
e8s_00039,A2_fixed_absolute_horizon,direction,basis,19,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.058069954672569216,203.55522065047197,0.16711856139024933,0.1418924079413781,0.02522615344887122,0.15094764602457295,1,0,0,0
e8s_00040,A2_fixed_absolute_horizon,direction,ode,0,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05308947263215315,203.55522065047197,0.0006138587209305227,0.0006021742611165482,1.1684459813974526e-05,0.01903444459706061,0,0,0,0
e8s_00040,A2_fixed_absolute_horizon,direction,ode,0,neural,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05308947263215315,203.55522065047197,0.15284738638627943,0.12844766989893075,0.024399716487348677,0.15963450252060676,1,0,0,0
e8s_00041,A2_fixed_absolute_horizon,direction,ode,1,spline,true-full,medium,72,0.1,0.55,0.55,0.35,0.001,0.21,0.6,1.0,0.05382879753690176,203.55522065047197,2.9797296594522145e-05,0.0001208624507412526,-9.106515414673045e-05,-3.056154905122219,0,1,1,0
