engine,support_fraction,noise_ratio,n,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate,study,target,ood_distance,action
neural,,,420,0.5119047619047619,0.4642857142857143,0.5571428571428572,-0.06985764169332205,-0.09258547713220693,-0.04873545830214095,0.44761904761904764,0.2642857142857143,C2,engine_conditioned,0.8,true-full
spline,,,420,0.7452380952380953,0.7047619047619048,0.7857142857142857,-0.06227246694199574,-0.07332579483707442,-0.0516294581129168,0.21904761904761905,0.5023809523809524,C2,engine_conditioned,0.1,bias-negative
spline,,,420,0.7071428571428572,0.6619047619047619,0.75,-0.01640958311896318,-0.019710347959354595,-0.013253304033163014,0.25,0.40476190476190477,C2,engine_conditioned,0.1,bias-positive
spline,,,420,0.6309523809523809,0.5857142857142857,0.6762499999999991,-0.03181913287946483,-0.04022772571982716,-0.024157350185247374,0.32857142857142857,0.3523809523809524,C2,engine_conditioned,0.1,true-full
spline,,,420,0.75,0.7071428571428572,0.7904761904761904,-0.073417980799312,-0.08573304442561072,-0.06179251552723809,0.21666666666666667,0.45714285714285713,C2,engine_conditioned,0.4,bias-negative
spline,,,420,0.6571428571428571,0.6095238095238096,0.7023809523809523,-0.013464449732593212,-0.01989475696443471,-0.007291007819271037,0.3047619047619048,0.3142857142857143,C2,engine_conditioned,0.4,bias-positive
spline,,,420,0.6761904761904762,0.6309523809523809,0.7214285714285714,-0.053332957501490724,-0.06622438451710717,-0.04118320071453789,0.28809523809523807,0.38571428571428573,C2,engine_conditioned,0.4,true-full
spline,,,420,0.6095238095238096,0.5642857142857143,0.6571428571428571,0.009020611317939735,-0.01444264589202792,0.03151543269140569,0.36428571428571427,0.29523809523809524,C2,engine_conditioned,0.8,bias-negative
spline,,,420,0.569047619047619,0.5238095238095238,0.6166666666666667,0.010268549019633179,-0.016639978294442304,0.03810384432810905,0.40714285714285714,0.2785714285714286,C2,engine_conditioned,0.8,bias-positive
spline,,,420,0.5833333333333334,0.5333333333333333,0.6309523809523809,0.02586187189646725,0.0033215795071967627,0.04987910049340373,0.3904761904761905,0.319047619047619,C2,engine_conditioned,0.8,true-full
,,,420,0.7738095238095238,0.7333333333333333,0.8119047619047619,-0.060256679835330854,-0.07112986683475563,-0.049319569921761744,0.17857142857142858,0.5023809523809524,C2,robust_any_engine_harm,0.1,bias-negative
,,,420,0.7285714285714285,0.6857142857142857,0.7690476190476191,-0.009149985176872927,-0.012147066664759155,-0.006247583666648835,0.23333333333333334,0.40714285714285714,C2,robust_any_engine_harm,0.1,bias-positive
,,,420,0.6595238095238095,0.611904761904762,0.7023809523809523,-0.027534202321566236,-0.03607377137777805,-0.019418530756785866,0.2976190476190476,0.38571428571428573,C2,robust_any_engine_harm,0.1,true-full
,,,420,0.7880952380952381,0.7476190476190476,0.8261904761904761,-0.07210754424470968,-0.08534052833789207,-0.05937728244605912,0.17142857142857143,0.4642857142857143,C2,robust_any_engine_harm,0.4,bias-negative
,,,420,0.7047619047619048,0.6595238095238095,0.75,0.001714188103047117,-0.004074680778094665,0.0072167012695171584,0.2571428571428571,0.3142857142857143,C2,robust_any_engine_harm,0.4,bias-positive
,,,420,0.7238095238095238,0.680952380952381,0.7666666666666667,-0.04530127353443178,-0.0593279796095533,-0.03275188599624841,0.23333333333333334,0.4095238095238095,C2,robust_any_engine_harm,0.4,true-full
,,,420,0.7714285714285715,0.7309523809523809,0.8119047619047619,-0.03529577304287785,-0.05257671300363394,-0.018795403139009837,0.1880952380952381,0.42142857142857143,C2,robust_any_engine_harm,0.8,bias-negative
,,,420,0.680952380952381,0.6357142857142857,0.7238095238095238,0.005411571490981143,-0.013085121261546808,0.024058324522617625,0.26666666666666666,0.3119047619047619,C2,robust_any_engine_harm,0.8,bias-positive
,,,420,0.7642857142857142,0.7238095238095238,0.8047619047619048,-0.02199788489842738,-0.039968484960219326,-0.004207552723341285,0.19523809523809524,0.4023809523809524,C2,robust_any_engine_harm,0.8,true-full
