study,primitive,engine,action,support_fraction,noise_ratio,ood_distance,n,harmful_rate,harm_ci95_low,harm_ci95_high,mean_raw_utility,utility_ci95_low,utility_ci95_high,beneficial_rate,catastrophic_harm_rate
A2_fixed_absolute_horizon,regime,neural,true-full,0.525,0.05,0.3999999999999999,60,1.0,1.0,1.0,-0.3102484078436479,-0.3568827997516479,-0.2648216344868418,0.0,0.9666666666666667
A2_fixed_absolute_horizon,regime,neural,true-full,0.7,0.001,0.3,60,1.0,1.0,1.0,-0.6548033472930666,-0.7189655876505211,-0.5906479976680717,0.0,0.9833333333333333
A2_fixed_absolute_horizon,regime,neural,true-full,0.7,0.01,0.3,60,1.0,1.0,1.0,-0.6860528978944219,-0.7547264923791241,-0.6188978382232092,0.0,1.0
A2_fixed_absolute_horizon,regime,neural,true-full,0.7,0.05,0.3,60,1.0,1.0,1.0,-0.6863006001732241,-0.7486938061029421,-0.6226648736422966,0.0,1.0
A2_fixed_absolute_horizon,regime,spline,true-full,0.35,0.001,0.6,60,0.95,0.8833333333333333,1.0,-0.07470162823943188,-0.09692981652466544,-0.0538469408316333,0.05,0.7333333333333333
A2_fixed_absolute_horizon,regime,spline,true-full,0.35,0.01,0.6,60,0.9,0.8166666666666667,0.9666666666666667,-0.09563105478183465,-0.1227538262563932,-0.06909787642435083,0.06666666666666667,0.7333333333333333
A2_fixed_absolute_horizon,regime,spline,true-full,0.35,0.05,0.6,60,0.7166666666666667,0.6,0.8333333333333334,-0.07288160673643493,-0.09617208557638786,-0.05094415264535484,0.26666666666666666,0.5666666666666667
A2_fixed_absolute_horizon,regime,spline,true-full,0.525,0.001,0.3999999999999999,60,0.9666666666666667,0.9166666666666666,1.0,-0.2897983267828923,-0.3327315996446737,-0.2471626444985197,0.03333333333333333,0.9333333333333333
A2_fixed_absolute_horizon,regime,spline,true-full,0.525,0.01,0.3999999999999999,60,1.0,1.0,1.0,-0.257871339116589,-0.29477115295010314,-0.22230145038045426,0.0,0.9333333333333333
A2_fixed_absolute_horizon,regime,spline,true-full,0.525,0.05,0.3999999999999999,60,0.9833333333333333,0.95,1.0,-0.2854336124897043,-0.3293615497050799,-0.24351725730064328,0.016666666666666666,0.8666666666666667
A2_fixed_absolute_horizon,regime,spline,true-full,0.7,0.001,0.3,60,1.0,1.0,1.0,-0.7293609951813479,-0.7885170736832587,-0.6701890012864841,0.0,1.0
A2_fixed_absolute_horizon,regime,spline,true-full,0.7,0.01,0.3,60,1.0,1.0,1.0,-0.7534970782928312,-0.8129445242530735,-0.6951603658917014,0.0,1.0
A2_fixed_absolute_horizon,regime,spline,true-full,0.7,0.05,0.3,60,1.0,1.0,1.0,-0.6993034333099994,-0.7591450059435254,-0.6385768234398524,0.0,0.9833333333333333
A2_fixed_absolute_horizon,turning,neural,true-full,0.35,0.001,0.6,60,0.5,0.36666666666666664,0.6333333333333333,-0.002976468337111719,-0.00863308909785072,0.002656078588976857,0.5,0.25
A2_fixed_absolute_horizon,turning,neural,true-full,0.35,0.01,0.6,60,0.43333333333333335,0.31666666666666665,0.5504166666666607,0.0001482044495865878,-0.005591284563364176,0.0056812559364296305,0.5333333333333333,0.18333333333333332
A2_fixed_absolute_horizon,turning,neural,true-full,0.35,0.05,0.6,60,0.4666666666666667,0.35,0.5833333333333334,-0.004540206989567094,-0.01056482661693454,0.0015231888057147464,0.5333333333333333,0.25
A2_fixed_absolute_horizon,turning,neural,true-full,0.525,0.001,0.3999999999999999,60,0.9833333333333333,0.95,1.0,-0.061920134667803786,-0.07283391472693458,-0.051566819944312156,0.0,0.6833333333333333
A2_fixed_absolute_horizon,turning,neural,true-full,0.525,0.01,0.3999999999999999,60,0.9833333333333333,0.95,1.0,-0.06219381418461115,-0.07353876543054999,-0.05131205844325073,0.016666666666666666,0.6666666666666666
A2_fixed_absolute_horizon,turning,neural,true-full,0.525,0.05,0.3999999999999999,60,0.8666666666666667,0.7833333333333333,0.95,-0.05002387510244457,-0.06224187461354941,-0.03831303553740056,0.13333333333333333,0.5166666666666667
A2_fixed_absolute_horizon,turning,neural,true-full,0.7,0.001,0.3,60,0.95,0.8833333333333333,1.0,-0.1599534127611632,-0.18816148375034256,-0.132658919278111,0.05,0.7333333333333333
A2_fixed_absolute_horizon,turning,neural,true-full,0.7,0.01,0.3,60,0.95,0.8833333333333333,1.0,-0.15059930061148616,-0.17723419182493472,-0.12508006461456717,0.03333333333333333,0.6833333333333333
A2_fixed_absolute_horizon,turning,neural,true-full,0.7,0.05,0.3,60,0.9666666666666667,0.9166666666666666,1.0,-0.1678022464137751,-0.18997267921919034,-0.14619315944386288,0.03333333333333333,0.7666666666666667
A2_fixed_absolute_horizon,turning,spline,true-full,0.35,0.001,0.6,60,1.0,1.0,1.0,-0.023130453799522426,-0.026708276495631202,-0.01945729988780163,0.0,1.0
A2_fixed_absolute_horizon,turning,spline,true-full,0.35,0.01,0.6,60,0.7666666666666667,0.65,0.8666666666666667,-0.014410220612609359,-0.01932036279335773,-0.00999795328442389,0.23333333333333334,0.5833333333333334
A2_fixed_absolute_horizon,turning,spline,true-full,0.35,0.05,0.6,60,0.31666666666666665,0.2,0.43333333333333335,0.012689220257076712,0.004110557874903616,0.021189618280459573,0.6833333333333333,0.18333333333333332
A2_fixed_absolute_horizon,turning,spline,true-full,0.525,0.001,0.3999999999999999,60,1.0,1.0,1.0,-0.08650308537588568,-0.09977450391497962,-0.07402539427769037,0.0,1.0
A2_fixed_absolute_horizon,turning,spline,true-full,0.525,0.01,0.3999999999999999,60,1.0,1.0,1.0,-0.0790153686286421,-0.09237931230598616,-0.06623724362923868,0.0,0.9833333333333333
A2_fixed_absolute_horizon,turning,spline,true-full,0.525,0.05,0.3999999999999999,60,0.65,0.5333333333333333,0.7666666666666667,-0.0250056226786543,-0.04283308090136295,-0.007530312911553807,0.35,0.48333333333333334
A2_fixed_absolute_horizon,turning,spline,true-full,0.7,0.001,0.3,60,1.0,1.0,1.0,-0.2053935873176801,-0.23328824527593145,-0.1791990313866132,0.0,1.0
A2_fixed_absolute_horizon,turning,spline,true-full,0.7,0.01,0.3,60,1.0,1.0,1.0,-0.18578196010366574,-0.21258307695785908,-0.16021025440120354,0.0,0.9833333333333333
A2_fixed_absolute_horizon,turning,spline,true-full,0.7,0.05,0.3,60,0.95,0.8833333333333333,1.0,-0.1701770789387128,-0.1981046432932155,-0.1410072876191197,0.05,0.7833333333333333
C2_bias_symmetry,asymptote,neural,bias-negative,0.525,0.01,0.1,60,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.002588517599837623,0.002048999251518274,0.0031124671050423275,0.7833333333333333,0.0
C2_bias_symmetry,asymptote,neural,bias-negative,0.525,0.01,0.4,60,0.0,0.0,0.0,0.025440597437936977,0.023716379418899564,0.027217731952462777,1.0,0.0
C2_bias_symmetry,asymptote,neural,bias-negative,0.525,0.01,0.8,60,0.0,0.0,0.0,0.0702787853933938,0.0655905815477747,0.07501199949348074,1.0,0.0
C2_bias_symmetry,asymptote,neural,bias-positive,0.525,0.01,0.1,60,0.0,0.0,0.0,0.020495243341336462,0.019355887020530527,0.021582932471386283,1.0,0.0
C2_bias_symmetry,asymptote,neural,bias-positive,0.525,0.01,0.4,60,0.0,0.0,0.0,0.08945049588567583,0.08461209520832984,0.0944158879844361,1.0,0.0
C2_bias_symmetry,asymptote,neural,bias-positive,0.525,0.01,0.8,60,0.0,0.0,0.0,0.16169547716857674,0.15217519635522078,0.17156527416335765,1.0,0.0
C2_bias_symmetry,asymptote,neural,true-full,0.525,0.01,0.1,60,0.0,0.0,0.0,0.012433352699757958,0.011615946796576546,0.013239780512779534,1.0,0.0
C2_bias_symmetry,asymptote,neural,true-full,0.525,0.01,0.4,60,0.0,0.0,0.0,0.06540951860004593,0.06170016372842004,0.06914178798547131,1.0,0.0
